Rank,Team,Won,Lost,Tied,PF,PA,Rating
195,WESTMINSTER (PA),7,2,0,335,117,107.372
196,UTEP,2,8,0,192,297,107.297
197,MCNEESE,5,5,0,241,249,107.265
198,YOUNGSTOWN ST.,3,8,0,290,392,107.174
199,TENNESSEE TECH,5,5,0,255,248,107.128
200,HARDIN-SIMMONS,9,0,0,406,152,107.122
201,TENNESSEE ST.,7,3,0,270,233,106.970
202,MONMOUTH,4,6,0,373,322,106.875
203,CHARLESTON (WV),10,0,0,437,167,106.730
204,AUGUSTANA (SD),8,2,0,288,162,106.625
205,EAST STROUDSBURG,9,1,0,354,142,106.606
206,PITTSBURG ST.,7,2,0,238,180,106.520
207,CENTRAL OKLA.,9,1,0,467,278,106.424
208,WOFFORD,5,5,0,167,213,106.417
209,HOLY CROSS,4,6,0,257,239,106.359
210,SOUTHERN ARK.,8,2,0,421,196,106.322
211,CALIFORNIA (PA),8,1,0,264,160,106.284
212,PENN,4,4,0,229,218,106.267
213,KENNESAW ST.,1,8,0,154,292,106.263
214,SAINT JOHN'S (MN),9,0,0,419,97,106.076
215,HAMPTON,5,5,0,300,258,106.036
216,EAST TEXAS A&M,1,1,0,22,45,105.995
217,AUSTIN PEAY,4,6,0,225,284,105.961
218,JACKSON ST.,8,2,0,377,200,105.931
219,GARDNER-WEBB,4,6,0,246,276,105.763
220,NORTH ALA.,3,8,0,268,329,105.758
221,LINDENWOOD,5,6,0,289,317,105.697
222,WESLEYAN (CT),8,1,0,218,133,105.621
223,SACRAMENTO ST.,3,7,0,289,349,105.615
224,HOUSTON CHRISTIAN,4,6,0,229,350,105.552
225,URSINUS,8,1,0,342,135,105.543
226,FORT HAYS ST.,7,3,0,307,166,105.401
227,UALBANY,3,7,0,177,285,105.296
228,CWRU,6,3,0,375,129,105.276
229,FLORIDA A&M,5,4,0,204,244,105.231
230,MERRIMACK,4,5,0,214,222,105.079
231,INDIANA ST.,4,6,0,189,307,105.035
232,CAMPBELL,3,7,0,232,307,104.963
233,SLIPPERY ROCK,8,1,0,254,166,104.949
234,TRINITY (CT),7,2,0,280,144,104.862
235,MINNESOTA ST.,8,2,0,324,233,104.821
236,ROBERT MORRIS,6,4,0,215,194,104.673
237,WEST ALA.,8,1,0,247,112,104.651
238,CSU PUEBLO,9,1,0,421,197,104.639
239,MOUNT UNION,9,0,0,419,114,104.562
240,KEISER,2,0,0,65,53,104.518
241,SUSQUEHANNA,8,1,0,430,185,104.479
242,SAN DIEGO,6,3,0,236,183,104.458
243,UNI,2,8,0,159,323,104.439
244,LENOIR-RHYNE,8,2,0,264,161,104.386
245,SAGINAW VALLEY,7,3,0,294,157,104.367
246,DEPAUW,9,0,0,486,93,104.343
247,HENDERSON ST.,8,2,0,342,216,104.329
248,BROWN,3,5,0,215,259,104.281
249,NICHOLLS,4,6,0,249,236,104.275
250,UINDY,9,1,0,402,174,104.253
251,CENTRAL MO.,7,3,0,368,320,104.229
252,LAMAR UNIVERSITY,5,5,0,244,243,104.199
253,WEBER ST.,3,7,0,288,286,104.150
254,WEST FLORIDA,7,2,0,324,136,104.077
255,WIS.-PLATTEVILLE,8,1,0,335,124,104.011
256,CARSON-NEWMAN,9,1,0,357,199,104.000
257,CENTRAL CONN. ST.,5,5,0,243,242,103.996
258,MORGAN ST.,5,5,0,250,205,103.898
259,BUTLER,8,2,0,364,146,103.894
260,LIU,3,7,0,204,271,103.789
261,TUFTS,7,2,0,218,170,103.663
262,SAMFORD,3,6,0,189,231,103.646
263,EASTERN ILL.,2,8,0,200,355,103.634
264,CORNELL,3,5,0,254,279,103.612
265,WESTERN ILL.,3,7,0,282,439,103.597
266,MUHLENBERG,6,3,0,354,288,103.586
267,EMORY & HENRY,8,2,0,333,156,103.579
268,THE CITADEL,4,6,0,214,215,103.471
269,SIOUX FALLS,7,3,0,292,228,103.434
270,MARY HARDIN-BAYLOR,4,3,0,195,150,103.431
271,CAL POLY,2,7,0,185,293,103.355
272,FINDLAY,9,1,0,334,189,103.331
273,RANDOLPH-MACON,8,1,0,323,117,103.273
274,EMPORIA ST.,7,3,0,292,248,103.205
275,LAFAYETTE,5,5,0,251,242,103.169
276,PRINCETON,2,6,0,168,253,103.151
277,BEMIDJI ST.,7,3,0,274,163,103.147
278,BUCKNELL,5,5,0,260,288,103.137
279,UTAH TECH,1,9,0,154,399,103.012
280,HOPE,9,0,0,395,71,102.805
281,ANGELO ST.,8,2,0,296,114,102.774
282,GEORGETOWN,5,4,0,197,218,102.735
283,INDIANA (PA),6,3,0,235,137,102.724
284,ENDICOTT,8,1,0,332,105,102.673
285,WEST GA.,3,7,0,301,263,102.621
286,NORTHWEST MO. ST.,6,4,0,319,252,102.591
287,SUNY BROCKPORT,7,2,0,290,83,102.507
288,HOBART,8,1,0,236,76,102.447
289,DELTA ST.,5,4,0,304,230,102.443
290,ASHLAND,7,3,0,213,170,102.421
291,BRYANT,2,8,0,223,370,102.157
292,LIMESTONE,7,3,0,342,228,102.156
293,MIDDLEBURY,6,3,0,217,183,102.094
294,WIS.-LA CROSSE,6,3,0,262,188,102.086
295,BETHEL (MN),8,1,0,470,109,101.975
296,SOUTHERN U.,6,4,0,204,239,101.964
297,ALABAMA ST.,5,4,0,219,172,101.908
298,VIRGINIA UNION,7,3,0,452,156,101.701
299,MARS HILL,5,3,0,221,172,101.535
300,MICHIGAN TECH,6,4,0,244,200,101.491
301,NORTHERN COLO.,1,9,0,120,364,101.418
302,WILLIAMS,5,4,0,236,190,101.368
303,MARIETTA,8,1,0,398,88,101.297
304,KENT ST.,0,9,0,136,414,101.235
305,WINSTON-SALEM,7,2,0,231,164,101.209
306,WAGNER,4,6,0,182,215,101.169
307,WESTERN COLO.,9,1,0,362,196,101.140
308,COLGATE,2,8,0,191,285,101.131
309,CAMPBELLSVILLE,1,0,0,24,8,101.116
310,CHRIS. NEWPORT,6,3,0,299,175,101.093
311,MOREHEAD ST.,6,4,0,166,214,101.050
312,NORTHERN ST.,6,5,0,220,281,101.046
313,JOHNSON C. SMITH,7,1,0,215,109,101.046
314,NEW HAVEN,7,2,0,300,145,101.037
315,MURRAY ST.,1,9,0,213,450,101.020
316,WIS.-OSHKOSH,6,3,0,254,233,101.004
317,DAVENPORT,7,3,0,248,209,100.952
318,ALCORN,5,5,0,225,275,100.948
319,TIFFIN,7,3,0,345,187,100.875
320,WAYNE ST. (NE),6,4,0,301,206,100.841
321,VIRGINIA ST.,7,3,0,321,147,100.767
322,N.C. A&T,1,9,0,153,394,100.679
323,NORFOLK ST.,3,7,0,187,269,100.608
324,DAYTON,5,4,0,187,141,100.541
325,MINN. DULUTH,6,4,0,347,186,100.415
326,CENTRAL WASH.,7,3,0,328,121,100.395
327,WIS.-WHITEWATER,5,4,0,233,147,100.388
328,GRAMBLING,5,5,0,265,253,100.283
329,FORDHAM,1,9,0,180,331,100.233
330,FRANKLIN & MARSHALL,5,4,0,205,125,100.223
331,SOUTHEASTERN OKLA.,5,5,0,224,217,100.108
332,HOWARD,4,6,0,214,253,100.104
333,ALABAMA A&M,4,5,0,277,288,100.059
334,CHARLESTON SO.,1,9,0,152,264,99.971
335,BERRY,7,2,0,318,160,99.961
336,PRAIRIE VIEW,5,5,0,233,295,99.921
337,ST. THOMAS (MN),5,5,0,222,256,99.912
338,DAVIDSON,6,4,0,371,294,99.885
339,NEB.-KEARNEY,5,5,0,222,210,99.842
340,TCNJ,6,3,0,290,233,99.819
341,ROWAN,5,4,0,228,226,99.789
342,ITHACA,6,3,0,246,97,99.728
343,COLBY,4,5,0,196,172,99.696
344,TEXAS SOUTHERN,3,6,0,185,284,99.651
345,LINFIELD,8,1,0,431,107,99.649
346,SAINT FRANCIS,3,6,0,122,184,99.589
347,WINONA ST.,5,5,0,277,239,99.488
348,BENTLEY,7,2,0,258,186,99.467
349,UW-RIVER FALLS,6,3,0,369,188,99.427
350,BLOOMSBURG,6,4,0,228,236,99.329
351,NORTHWOOD,5,5,0,230,162,99.258
352,WHEATON (IL),7,2,0,353,170,99.249
353,TRUMAN ST.,6,4,0,309,228,99.235
354,MILES,8,2,0,290,165,99.199
355,FURMAN,2,7,0,169,290,99.163
356,PRESBYTERIAN,4,6,0,265,248,99.156
357,NORTH GREENVILLE,4,5,0,238,269,99.123
358,ASSUMPTION,6,3,0,190,147,99.102
359,WARTBURG,8,1,0,298,138,99.089
360,COLO. SCH. OF MINES,7,3,0,348,212,99.071
