Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Army                                        9     0     0   354    68   82.352
   2 Pennsylvania                                0     1     0    13    14   77.239
   3 Notre Dame                                  3     0     0   111    34   76.988
   4 Ohio State                                  3     0     1   100    45   76.308
   5 California                                 10     1     0   319   131   75.939
   6 Texas                                       3     0     0   103    21   74.389
   7 Michigan                                    6     2     1   135    85   73.177
   8 Oklahoma                                    5     0     0   202    33   71.632
   9 VMI                                         0     1     0    14    40   71.528
  10 Pacific                                     3     0     0   154     7   71.113
  11 UCLA                                        1     1     0    62    60   70.523
  12 Minnesota                                   1     1     0    62    21   70.468
  13 Michigan State                              6     3     0   309   107   69.869
  14 Harvard                                     0     1     0    14    54   69.698
  15 Oregon State                                2     1     0    60    86   69.426
  16 Northwestern                                2     1     0    51    55   69.194
  17 Santa Clara                                 2     1     0    81    34   68.914
  18 Southern Cal                                0     1     0    10    16   68.891
  19 Wisconsin                                   2     1     1    98    75   68.227
  20 SMU                                         2     1     0    80    48   67.470
  21 Navy                                        1     1     0    28    52   67.469
  22 Maryland                                    9     1     0   266    82   66.775
  23 Rice                                        3     1     0    75    28   66.677
  24 Davidson                                    0     1     0     7    47   66.607
  25 Villanova                                   1     0     0    28    14   66.444
  26 Baylor                                      8     2     0   232   126   66.428
  27 Stanford                                    2     2     0   158    80   65.865
  28 Washington State                            1     1     0    49    46   65.594
  29 Washington                                  0     1     0     7    21   65.569
  30 Colgate                                     1     0     0    32     0   65.564
  31 Iowa                                        4     5     0   184   247   65.215
  32 Illinois                                    3     4     2   149   140   64.682
  33 Columbia                                    0     1     0     6    63   64.153
  34 William & Mary                              2     1     0    47    55   64.085
  35 Kentucky                                    9     3     0   317    74   63.986
  36 LSU                                         8     3     0   231   109   63.693
  37 Elon(NC)                                    1     0     0    33     7   63.447
  38 St. Mary's(CA)                              0     1     0     7    29   63.411
  39 Penn State                                  1     2     0    39    80   63.176
  40 UTEP                                        3     0     0    89    13   62.652
  41 Missouri                                    5     1     0   154   108   62.556
  42 Oregon                                      2     2     0   128    89   62.379
  43 Tulane                                      4     1     0   114    47   62.311
  44 Nevada                                      2     0     0    75    34   62.222
  45 Boston University                           0     1     0    13    14   61.662
  46 Midwestern State(TX)                        1     0     0    33    21   61.231
  47 Purdue                                      2     3     0    47    66   61.185
  48 Arkansas                                    5     5     0   167   175   61.076
  49 North Carolina                              2     1     0    49    47   60.854
  50 Loyola Marymount(CA)                        2     0     0    79    20   60.702
  51 St. Bonaventure                             1     0     0    20    14   60.641
  52 Georgetown(DC)                              1     1     0    17    40   60.617
  53 Western Carolina                            1     0     0    19     6   60.392
  54 Hampden-Sydney(VA)                          1     0     0    20     7   60.104
  55 TCU                                         3     2     0    95   100   59.541
  56 Duke                                        6     3     0   260   117   59.488
  57 Wake Forest                                 2     1     0    69    41   59.256
  58 Bucknell                                    1     0     0    21     7   59.233
  59 Georgia Tech                                7     3     0   197   129   58.849
  60 Tennessee                                   3     2     1    78    65   58.758
  61 Vanderbilt                                  5     3     0   143   116   58.547
  62 Appalachian State                           1     0     0    35    18   58.499
  63 Wyoming                                     2     1     0    66    32   58.487
  64 West Alabama                                1     0     0    13     6   58.118
  65 Miami(FL)                                   6     3     0   165    96   58.049
  66 Boston College                              4     4     1   209   187   57.870
  67 Alabama                                     6     3     1   227   130   57.468
  68 Xavier(OH)                                  5     1     0   119    89   57.412
  69 North Texas                                 1     1     0    47    56   56.890
  70 Temple                                      0     1     0    14    62   56.433
  71 San Diego State                             1     0     0    18     7   56.422
  72 St. Lawrence(NY)                            1     0     0    13     7   56.321
  73 Indiana                                     1     8     0   117   254   56.132
  74 Iowa State                                  5     3     1   169   134   55.967
  75 Hawaii                                      6     3     0   362   210   55.898
  76 Virginia                                    1     0     0    21    18   55.894
  77 Cincinnati                                  7     4     0   237   181   55.712
  78 Mississippi                                 4     5     1   246   243   55.605
  79 Texas Tech                                  1     1     0    34    35   55.090
  80 Lenoir-Rhyne(NC)                            1     0     0    21    20   55.068
  81 UCSB                                        1     0     0    14     7   54.917
