Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Cornell                                     2     0     0    66     7   76.186
   2 Minnesota                                   8     0     0   154    71   74.492
   3 Fordham                                     2     0     0    41     7   74.194
   4 Michigan                                    7     1     0   196    34   73.431
   5 Boston College                             11     0     0   339    65   72.584
   6 Texas A&M                                   2     0     0    31     7   72.496
   7 Rice                                        3     0     0    58    19   72.437
   8 North Carolina State Freshmen               1     0     0    26     0   71.731
   9 Tennessee                                   5     1     0   128    31   71.485
  10 SMU                                         4     0     0    75    24   70.900
  11 Texas                                       6     0     0   131    29   70.563
  12 Mississippi State                          10     0     1   245    58   70.253
  13 Northwestern                                6     2     0   170    64   70.111
  14 Stanford                                    4     0     0    75    34   68.793
  15 Richmond                                    1     0     0    14    13   66.888
  16 Pennsylvania                                3     1     0   119    14   66.108
  17 Ohio State                                  4     4     0    99   113   66.060
  18 Nebraska                                    8     2     0   183    75   65.856
  19 Washington                                  4     1     0    71    25   65.303
  20 Georgetown(DC)                              1     2     0    66    33   64.900
  21 TCU                                         2     1     0    48    33   64.811
  22 Alabama                                     7     2     0   166    80   64.606
  23 Mississippi                                 9     2     0   251   100   64.455
  24 Abilene Christian                           1     0     0    19    13   64.445
  25 Duke                                        7     2     0   203    52   64.184
  26 Western Carolina                            1     0     0    25    14   64.158
  27 LSU                                         6     4     0   139   112   63.726
  28 Auburn                                      6     4     1   170   153   63.539
  29 Toledo                                      1     0     0     7     6   63.363
  30 Arkansas                                    4     6     0   112   174   62.974
  31 Central Arkansas                            1     0     0    13     0   62.882
  32 Ouachita Baptist(AR)                        1     0     0    17     0   62.750
  33 High Point(NC)                              2     0     0    39     0   62.558
  34 Baylor                                      4     6     0   109   114   62.427
  35 Santa Clara                                 1     0     1    33    13   62.274
  36 North Carolina                              6     4     0   159    98   61.766
  37 Lafayette                                   1     0     0    19     0   61.692
  38 Tulane                                      3     4     0    75   100   61.503
  39 Indiana                                     3     5     0    69   100   61.080
  40 Hardin-Simmons(TX)                          1     0     0    17     0   60.929
  41 Wisconsin                                   2     3     0    72    95   60.927
  42 Pittsburgh                                  2     3     0    60    71   60.829
  43 Columbia                                    1     0     1    19    13   60.784
  44 Western Reserve(OH)                         2     0     0    53     6   60.481
  45 Villanova                                   2     2     0    71    27   60.382
  46 Notre Dame                                  7     2     0   168    67   60.234
  47 Southern Miss                               1     0     0    21    14   60.192
  48 Iowa                                        4     4     0   125    98   60.041
  49 Boston University                           1     1     0    14    21   59.890
  50 Wake Forest                                 3     2     0    63    95   59.547
  51 San José State                             2     0     0    44    14   59.137
  52 Clemson                                     6     2     1   182    73   59.072
  53 Penn State                                  6     1     1   135    46   58.958
  54 Oklahoma                                    6     3     0   121   105   58.763
  55 Purdue                                      1     4     0    48    79   58.575
  56 Utah                                        5     0     0    97    25   58.528
  57 Florida                                     5     5     0   136   139   58.459
  58 Syracuse                                    0     1     1    13    53   58.136
  59 Georgia                                     5     4     1   209   134   58.129
  60 Marshall                                    8     2     0   334    75   58.111
  61 Michigan State                              3     4     1   108    76   58.064
  62 North Texas                                 6     3     0   199    79   57.662
  63 Rhodes(TN)                                  1     2     1    52    52   57.646
  64 Navy                                        6     2     1   106    46   57.543
  65 Spring Hill(AL)                             1     1     0    13    33   57.314
  66 Oregon State                                5     3     1   128    80   57.239
  67 Southern CAlifornia                         0     0     1     0     0   57.237
  68 Manhattan(NY)                               0     1     0     0    25   57.218
  69 Kentucky                                    5     3     2   190   107   57.051
  70 Temple                                      1     3     0    47    79   56.426
  71 Murray State                                2     0     0    53     6   56.352
  72 Southern California                         2     2     0    39    37   56.132
  73 East Carolina                               5     3     0   143    70   56.079
  74 Georgia Tech                                3     7     0   139   160   55.998
  75 Duquesne(PA)                                0     1     0     6    14   55.868
  76 Belmont Abbey(NC)                           1     0     0    48     0   55.853
  77 California                                  4     6     0    84   128   55.762
  78 Oregon                                      4     4     1   100    58   55.731
  79 Missouri                                    6     3     0   213   125   55.609
  80 Marquette                                   2     1     0    62    48   55.481
  81 Washington State                            2     1     1    41    33   55.473
  82 Tulsa                                       1     2     0    46    53   55.406
  83 Virginia                                    1     1     0    26    16   55.271
  84 Brown                                       1     0     0    13     9   54.830
  85 Holy Cross                                  0     3     0     7    66   54.544
  86 Vanderbilt                                  0     4     1    35    71   54.478
  87 Colgate                                     1     1     0    44    13   54.342
  88 Ohio                                        5     2     2    89    32   54.026
  89 VMI                                         1     1     0    20    23   53.884
