Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Army                                        9     0     0   412    46   78.292
   2 Alabama                                    10     0     0   430    80   74.816
   3 Navy                                        2     1     0    54    38   70.250
   4 Franklin & Marshall(PA)                     1     0     0    19     0   68.659
   5 Oberlin(OH)                                 1     0     0    28     0   68.644
   6 Ohio State                                  2     0     0    69     2   68.542
   7 Detroit                                     1     0     0    20     0   68.188
   8 LSU                                         2     1     0    48    33   68.148
   9 Mississippi State JV                        1     0     0    43     0   67.119
  10 SMU                                         2     0     0    55     0   65.674
  11 Melville PT Boats(RI)                       0     1     0    13    55   65.041
  12 Southern Cal                                2     1     0    41    36   64.960
  13 Miami(OH)                                   2     0     0    54    14   64.823
  14 Georgia                                     9     2     0   314   100   64.707
  15 Indiana                                     9     0     1   279    56   64.192
  16 Notre Dame                                  3     1     0   103    55   63.820
  17 Tennessee                                   0     1     0     7    25   63.283
  18 Northwestern                                2     0     1    38    20   63.163
  19 Great Lakes NTS(IL)                         1     0     0    12     6   62.591
  20 Arizona                                     5     0     0   193    12   62.399
  21 Duke                                        6     2     0   229   114   62.335
  22 Mississippi State                           1     1     0    33    55   61.845
  23 Personnel District Comm.(KY)                0     1     0     0    32   61.562
  24 Michigan                                    1     2     0    33    41   61.210
  25 Illinois Wesleyan                           1     0     0    27     6   61.139
  26 Holy Cross                                  1     0     0    46     0   61.080
  27 Keesler Field(MS)                           0     1     0     0    21   61.067
  28 Saint Mary's(CA)                            2     0     0    52    19   60.428
  29 Oregon                                      2     0     0    53    20   60.322
  30 Marquette                                   1     0     0    26     0   60.248
  31 Texas A&M                                   2     0     0    53    13   60.172
  32 Texas                                       2     0     0    55    21   59.765
  33 Villanova                                   1     1     0    41    54   59.378
  34 Valparaiso(IN)                              1     0     0     7     6   59.211
  35 Wake Forest                                 1     2     0    32    86   59.187
  36 Henderson State(AR)                         1     0     0    13     0   59.044
  37 Brown                                       1     0     0    51     6   58.834
  38 Oklahoma                                    2     0     0    53    14   58.687
  39 Tulsa                                       2     2     0    79    47   58.410
