Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Santa Clara                                 1     0     0    13     0   86.444
   2 Oregon                                      1     0     0    19     7   85.582
   3 Washington                                  1     0     0    13     6   83.900
   4 Washington State                            1     0     0    13     6   83.900
   5 Oregon State                                2     0     0    26    16   81.996
   6 Vanderbilt                                  1     0     0     7     0   80.441
   7 Mississippi State                           3     0     0    34     7   76.605
   8 California                                  4     5     0   107    71   75.900
   9 Duke                                        9     1     0   362    67   75.362
  10 Alabama                                     9     2     0   263    85   72.995
  11 Tulane                                      2     1     0    67    26   69.732
  12 SMU                                         3     0     0    48    14   69.442
  13 Georgia                                     2     1     0    40    30   69.163
  14 Mississippi                                 1     0     0    18     0   68.683
  15 Colgate                                     0     1     0    14    27   66.983
  16 Texas A&M                                   2     1     0    76    29   66.756
  17 Harvard                                     1     0     0    20     6   66.480
  18 UCLA                                        1     1     0    37    54   66.242
  19 South Carolina                              1     0     0    18    14   65.745
  20 LSU                                         1     0     1    17    14   65.508
  21 Maryland                                    1     1     0    13    62   65.268
  22 TCU                                         2     0     0    32    12   64.878
  23 Southern Cal                                0     1     0     0    14   64.817
  24 Rice                                        2     0     0    49    26   64.598
  25 Navy                                        1     0     0    14     6   64.262
  26 Stanford                                    0     1     0     0    16   63.955
  27 Youngstown State                            1     0     0    19     0   63.875
  28 Pennsylvania                                1     0     0    14     7   63.682
  29 Auburn                                      4     5     1   123   115   63.637
  30 Pittsburgh                                  0     1     0     7    27   63.283
  31 Tennessee                                   2     2     0    37    41   63.103
  32 Georgia Tech                                1     3     0    35    62   62.724
  33 Villanova                                   2     1     0    20    19   62.700
  34 Union(TN)                                   1     0     0    70     0   62.551
  35 Sunflower JC(MS)                            1     0     0    68     0   62.398
  36 Florida                                     4     6     0   149    97   61.880
  37 Baldwin-Wallace                             1     0     0    14     0   61.852
  38 Rutgers                                     1     0     0    32     7   61.463
  39 Texas                                       2     0     1    89    27   60.374
  40 Alfred(NY)                                  1     0     0    14     0   60.175
  41 RPI                                         1     0     0    21     6   60.123
  42 Missouri-Rolla                              1     0     0    46     0   60.063
  43 SE Missouri State                           1     0     0    44     0   59.774
  44 Clemson                                     7     2     0   233    90   59.743
  45 Drexel Institute(PA)                        1     0     0    19     6   59.467
  46 Saint Mary's(CA)                            0     1     0     0    31   59.321
  47 Western Reserve                             1     0     0    12     6   58.377
  48 Austin Peay                                 1     0     0    34     0   58.035
  49 North Carolina                              0     1     0     6    55   57.851
  50 Washington & Jefferson(PA)                  1     0     0    14     6   57.583
  51 Baylor                                      3     6     1   106   161   56.910
  52 Kentucky                                    0     1     0     0    30   56.706
  53 Louisiana-Lafayette                         0     1     0     6    47   56.524
  54 Southern Illinois                           1     0     0    27     0   56.432
  55 Notre Dame                                  1     0     1    38     7   56.382
  56 East Carolina                               7     0     0   159    20   56.206
  57 Tulsa                                       1     1     0    26    26   56.199
  58 Arkansas                                    3     7     0   118   149   56.036
  59 Oklahoma State                              1     0     0    41    14   55.999
  60 Boston College                              7     3     0   235   106   55.933
  61 Army                                        5     3     1   105    87   55.816
