Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 OHIO ST.                                   14     2     0   571   206  130.413
   2 OREGON                                     13     1     0   488   272  129.153
   3 NOTRE DAME                                 14     2     0   578   248  127.985
   4 PENN ST.                                   13     3     0   530   264  127.188
   5 TEXAS                                      13     3     0   528   245  126.358
   6 INDIANA                                    11     2     0   537   203  126.140
   7 GEORGIA                                    11     3     0   441   288  125.433
   8 OLE MISS                                   10     3     0   502   187  124.029
   9 TENNESSEE                                  10     3     0   464   209  123.789
  10 ALABAMA                                     9     4     0   439   226  123.575
  11 ILLINOIS                                   10     3     0   368   282  123.564
  12 MICHIGAN                                    8     5     0   286   259  123.389
  13 BYU                                        11     2     0   405   255  123.360
  14 SOUTH CAROLINA                              9     4     0   396   235  123.285
  15 SMU                                        11     3     0   511   309  122.889
  16 LSU                                         9     4     0   396   316  122.821
  17 IOWA ST.                                   11     3     0   435   321  122.725
  18 ARIZONA ST.                                11     3     0   461   316  122.661
  19 MIAMI (FL)                                 10     3     0   571   329  122.160
  20 LOUISVILLE                                  9     4     0   474   313  122.117
  21 SOUTHERN CALIFORNIA                         7     6     0   392   313  122.105
  22 FLORIDA                                     8     5     0   368   300  121.985
  23 MISSOURI                                   10     3     0   376   265  121.947
  24 MINNESOTA                                   8     5     0   340   220  121.892
  25 BOISE ST.                                  12     2     0   522   316  121.865
  26 CLEMSON                                    10     4     0   486   328  121.763
  27 TEXAS A&M                                   8     5     0   395   289  121.686
  28 IOWA                                        8     5     0   360   232  121.649
  29 KANSAS ST.                                  9     4     0   401   304  121.390
  30 COLORADO                                    9     4     0   428   300  121.302
  31 NEBRASKA                                    7     6     0   306   253  120.733
  32 BAYLOR                                      8     5     0   447   347  120.517
  33 ARMY WEST POINT                            12     2     0   435   217  120.304
  34 SYRACUSE                                   10     3     0   443   379  120.191
  35 TCU                                         9     4     0   435   320  120.094
  36 VANDERBILT                                  7     6     0   355   304  119.951
  37 WASHINGTON                                  6     7     0   304   309  119.940
  38 OKLAHOMA                                    6     7     0   312   280  119.620
  39 RUTGERS                                     7     6     0   376   330  119.525
  40 KANSAS                                      5     7     0   356   312  119.516
  41 NAVY                                       10     3     0   407   288  119.508
  42 UCLA                                        5     7     0   221   303  119.499
  43 UNLV                                       11     3     0   495   298  119.397
  44 VIRGINIA TECH                               6     7     0   366   297  119.268
  45 DUKE                                        9     4     0   342   318  119.263
  46 TEXAS TECH                                  8     5     0   489   453  119.261
  47 GEORGIA TECH                                7     6     0   376   333  119.124
  48 ARKANSAS                                    7     6     0   402   325  119.096
  49 WISCONSIN                                   5     7     0   271   277  118.902
  50 MARSHALL                                   10     3     0   414   300  118.884
  51 TULANE                                      9     5     0   491   289  118.837
  52 MEMPHIS                                    11     2     0   464   310  118.834
  53 BOSTON COLLEGE                              7     6     0   366   309  118.451
  54 NORTH DAKOTA ST.                           14     2     0   610   298  118.303
  55 CINCINNATI                                  5     7     0   302   295  117.800
  56 WEST VIRGINIA                               6     7     0   379   415  117.758
  57 OHIO                                       11     3     0   410   254  117.683
  58 KENTUCKY                                    4     8     0   247   265  117.613
  59 PITTSBURGH                                  7     6     0   428   369  117.593
  60 MICHIGAN ST.                                5     7     0   232   313  117.505
  61 MONTANA ST.                                15     1     0   652   292  117.504
  62 UTAH                                        5     7     0   283   248  117.279
  63 AUBURN                                      5     7     0   333   256  117.251
  64 MARYLAND                                    4     8     0   284   365  117.247
  65 UCF                                         4     8     0   365   323  116.985
  66 LOUISIANA                                  10     4     0   433   338  116.584
  67 SOUTH DAKOTA ST.                           12     3     0   550   209  116.577
  68 VIRGINIA                                    5     7     0   272   345  116.477
  69 GA. SOUTHERN                                8     5     0   364   359  116.447
  70 JAMES MADISON                               9     4     0   433   266  116.301
  71 NORTHWESTERN                                4     8     0   214   316  116.097
  72 HOUSTON                                     4     8     0   168   275  116.039
  73 UCONN                                       9     4     0   415   300  115.999
  74 NORTH CAROLINA                              6     7     0   402   365  115.986
  75 MIAMI (OH)                                  9     5     0   337   263  115.922
  76 CALIFORNIA                                  6     7     0   326   290  115.908
  77 TEXAS ST.                                   8     5     0   475   319  115.772
  78 WASHINGTON ST.                              8     5     0   476   389  115.559
  79 OKLAHOMA ST.                                3     9     0   326   427  115.486
  80 NC STATE                                    6     7     0   371   392  115.427
  81 SOUTH DAKOTA                               11     3     0   501   247  115.363
  82 ARIZONA                                     4     8     0   261   381  115.237
  83 OLD DOMINION                                5     7     0   336   336  115.039
  84 SOUTH ALABAMA                               7     6     0   447   327  114.993
  85 SAM HOUSTON                                10     3     0   309   266  114.849
