Rank|Team|W|L|T|PF|PA|Power|SoS
341|DAYTON|2|1|0|69|38|99.297|94.922
342|WESTERN ORE.|2|1|0|100|66|99.223|-134.784
343|AUGUSTANA (IL)|1|1|0|49|91|99.140|102.691
344|VALDOSTA ST.|2|1|0|103|59|99.000|96.292
345|OKLA. BAPTIST|1|2|0|44|85|98.952|102.686
346|WILLIAM JEWELL|2|1|0|101|64|98.888|95.255
347|EAST CENTRAL|2|1|0|75|52|98.833|94.581
348|WEST TEX. A&M|1|3|0|123|157|98.825|104.291
349|EMPORIA ST.|1|2|0|67|82|98.758|100.783
350|AUGUSTANA (SD)|4|0|0|130|67|98.689|88.715
351|WASHBURN|1|3|0|82|126|98.637|103.628
352|QUINCY|2|1|0|83|51|98.629|95.432
353|CENTRAL MO.|1|2|0|81|86|98.574|100.750
354|WIS.-PLATTEVILLE|3|0|0|125|39|98.552|87.840
355|WIS.-STEVENS POINT|3|0|0|105|51|98.352|89.505
356|BUTLER|2|2|0|91|110|98.261|98.381
357|HILLSDALE|1|2|0|52|77|98.234|101.573
358|MIDDLEBURY|1|1|0|48|41|97.971|97.080
359|BLACK HILLS ST.|1|3|0|110|125|97.955|101.249
360|LIVINGSTONE|2|1|0|55|72|97.911|96.920
361|MARIETTA|2|0|0|59|39|97.829|89.094
362|WASHU|2|0|0|90|29|97.796|85.605
363|FORDHAM|0|4|0|77|200|97.573|109.526
364|EASTERN N.M.|1|3|0|111|124|97.405|101.858
365|LINFIELD|1|1|0|42|44|97.324|96.652
366|SOUTHWESTERN OKLA.|1|2|0|45|101|97.280|104.377
367|KENTUCKY ST.|2|2|0|121|127|97.239|97.153
368|NEW HAVEN|2|2|0|87|124|97.063|98.429
369|FROSTBURG ST.|3|0|0|104|68|97.062|88.898
370|ST. OLAF|2|0|0|49|23|97.033|86.406
371|WESTERN ILL.|1|3|0|92|176|96.971|114.207
372|BATES|1|1|0|39|53|96.957|97.992
373|HAMPTON|1|3|0|78|115|96.922|104.583
374|OUACHITA BAPTIST|1|2|0|86|73|96.763|98.236
375|KY. CHRISTIAN|1|1|0|69|65|96.688|96.560
376|MISSISSIPPI VAL.|0|3|0|35|149|96.601|119.448
377|ADRIAN|3|0|0|143|7|96.599|69.525
378|MARYVILLE (TN)|2|0|0|88|38|96.462|87.522
379|MSU MOORHEAD|3|1|0|157|88|96.462|91.025
380|WHEELING|2|2|0|85|124|96.083|97.700
381|JOHNS HOPKINS|3|0|0|109|49|95.881|86.976
382|DEPAUW|3|0|0|110|28|95.876|84.189
383|FRANKLIN PIERCE|2|1|0|78|51|95.829|90.620
384|MCKENDREE|0|3|0|60|110|95.827|106.547
385|WEST VIRGINIA ST.|2|1|0|83|71|95.641|93.421
386|BETHEL (MN)|2|0|0|91|10|95.549|79.066
387|ALLEN|2|2|0|126|125|95.477|95.357
388|SALISBURY|2|0|0|104|28|95.452|82.474
389|COE|2|1|0|171|79|95.369|87.509
390|WITTENBERG|2|1|0|92|69|95.325|92.973
391|POST|3|0|0|117|63|95.296|85.782
392|LEWIS & CLARK|3|0|0|115|33|95.242|84.136
393|ROBERT MORRIS|1|3|0|62|132|95.051|107.722
394|MONMOUTH (IL)|2|1|0|134|34|95.017|87.020
395|ASSUMPTION|2|1|0|83|80|94.988|92.640
396|FAIRMONT ST.|2|1|0|93|96|94.978|93.351
397|SIMPSON|1|2|0|99|76|94.967|94.890
398|AMHERST|1|1|0|46|39|94.931|94.284
399|NORTH GREENVILLE|1|2|0|67|94|94.828|98.399
400|HOPE|3|0|0|131|42|94.790|85.399
401|WABASH|3|0|0|127|56|94.790|82.088
402|MILES|0|4|0|45|173|94.701|108.614
403|MARY HARDIN-BAYLOR|1|1|0|36|49|94.658|96.741
404|TEXAS LUTHERAN|1|2|0|70|89|94.612|97.828
405|WESTERN N.M.|1|3|0|144|204|94.589|99.672
406|CATAWBA|3|1|0|117|92|94.562|90.911
407|WESTMINSTER (PA)|2|1|0|63|42|94.402|91.662
408|WIS.-STOUT|2|1|0|94|64|94.348|91.571
409|LINCOLN (MO)|2|1|0|103|45|94.328|88.001
410|TRUMAN ST.|2|2|0|121|104|94.260|94.012
411|LOCK HAVEN|1|2|0|32|97|94.208|100.165
412|BOWIE ST.|1|2|0|53|60|94.193|96.640
413|MISSOURI WESTERN|1|2|0|79|74|94.187|95.231
414|CHOWAN|1|2|0|59|108|94.163|97.254
415|UALBANY|1|3|0|69|105|94.138|104.775
416|U NEW ENGLAND|2|0|0|97|52|94.060|81.405
417|NORTHWOOD|3|0|0|71|38|93.521|85.901
418|SALVE REGINA|2|0|0|58|40|93.514|85.816
419|CARLETON|1|1|0|65|52|93.440|89.920
420|CLARK ATLANTA|2|2|0|109|113|93.420|93.184
421|CENTRAL (IA)|3|0|0|100|44|93.348|83.625
422|CAL LUTHERAN|2|0|0|73|43|93.287|86.112
423|UCHICAGO|2|1|0|52|53|93.201|92.574
424|CORTLAND|2|1|0|103|46|93.195|79.454
425|SETON HILL|2|2|0|110|107|93.139|93.334
426|WINONA ST.|2|2|0|84|122|93.052|97.170
427|TRINE|2|0|0|62|37|93.024|84.602
428|MIDWESTERN ST.|0|3|0|63|127|92.961|102.478
429|BELHAVEN|1|2|0|50|138|92.818|98.070
430|MIT|2|0|0|101|13|92.811|77.034
431|BENEDICTINE (IL)|3|0|0|91|48|92.797|78.491
432|SHEPHERD|0|3|0|93|127|92.787|99.971
433|SAINT FRANCIS|0|4|0|23|144|92.610|112.132
434|TUSCULUM|1|3|0|69|115|92.425|97.790
435|CENTRAL ST. (OH)|0|4|0|24|105|92.419|106.884
436|EASTERN ORE.|1|0|0|16|10|92.393|85.076
437|SOUTH DAKOTA MINES|0|4|0|65|194|92.357|103.907
438|MARY|2|2|0|95|94|92.130|91.952
439|LAKE ERIE|0|3|0|40|131|92.114|109.944
440|SHORTER|0|3|0|27|89|92.083|102.847
441|DAKOTA ST.|1|0|0|37|7|91.955|77.052
442|ARK.-PINE BLUFF|1|2|0|58|116|91.943|105.885
443|CONCORDIA-M'HEAD|1|1|0|33|23|91.872|90.041
444|REDLANDS|2|0|0|44|24|91.826|84.618
445|FORT VALLEY ST.|0|3|0|54|74|91.678|99.713
446|HAMILTON|0|2|0|30|47|91.611|102.957
447|LAGRANGE|2|1|0|50|68|91.477|88.422
448|FORT LEWIS|1|2|0|91|69|91.196|91.558
449|CONCORDIA-ST. PAUL|1|3|0|51|151|91.091|101.383
450|KY. WESLEYAN|0|3|0|35|107|90.972|102.031
451|GLENVILLE ST.|1|2|0|74|89|90.936|93.803
452|BREVARD|2|1|0|84|85|90.908|88.514
453|ALBION|2|1|0|91|84|90.908|88.935
454|BLOOMSBURG|1|2|0|102|90|90.831|92.038
455|SOUTHERN CONN. ST.|1|1|0|40|42|90.817|90.105
456|CARROLL (WI)|0|2|0|36|70|90.777|99.727
457|PACIFIC (OR)|1|2|0|68|57|90.771|91.094
458|SOUTHEASTERN OKLA.|1|2|0|79|89|90.752|93.006
459|DAVENPORT|2|1|0|83|56|90.719|86.693
460|NORTHWESTERN OKLA.|0|3|0|15|109|90.678|107.111
461|BENTLEY|0|3|0|40|107|90.383|102.795
462|BOWDOIN|0|2|0|10|44|90.282|102.920
463|MILLIKIN|2|0|0|55|20|90.130|80.284
464|MOREHOUSE|0|3|0|36|118|90.012|102.753
465|VALPARAISO|1|3|0|111|129|89.992|96.110
466|HARDIN-SIMMONS|3|0|0|113|66|89.867|81.920
467|CLAREMONT-M-S|2|0|0|42|28|89.840|82.752
468|ST. XAVIER|0|1|0|0|37|89.803|105.426
469|NEWBERRY|2|1|0|90|45|89.763|85.768
470|BEMIDJI ST.|0|4|0|71|156|89.703|100.352
471|BLUEFIELD ST.|1|2|0|68|152|89.588|97.360
472|ELIZABETH CITY ST.|0|4|0|59|127|89.584|98.289
473|FERRUM|1|3|0|48|134|89.405|97.932
474|DUBUQUE|1|2|0|96|121|89.402|92.027
475|SOUTHWESTERN (TX)|2|1|0|113|100|89.359|86.816
476|MILLSAPS|2|1|0|121|83|89.257|84.813
477|AURORA|1|2|0|70|105|89.254|92.668
478|MERCHANT MARINE|1|0|0|56|24|89.250|80.488
479|ROWAN|1|0|1|73|17|89.010|78.770
480|WESTERN NEW ENG.|2|1|0|99|69|88.971|84.975
481|SUSQUEHANNA|2|1|0|111|71|88.965|84.103
482|OHIO WESLEYAN|1|2|0|106|131|88.923|91.858
483|CAPITAL|1|1|0|43|64|88.862|91.283
484|CWRU|0|2|1|68|83|88.676|92.734
485|ADAMS ST.|0|3|0|34|121|88.635|104.510
486|FRANKLIN & MARSHALL|2|1|0|80|55|88.482|85.715
487|MISSOURI S&T|2|2|0|108|110|88.430|87.208
