Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Michigan                                   10     0     0   394    53   73.618
   2 Notre Dame                                  9     0     0   291    52   73.442
   3 Texas                                       6     0     0   182    47   71.640
   4 Wesleyan(CT)                                1     0     0    12     0   69.681
   5 Brown                                       1     0     0    33    13   69.624
   6 New Hampshire                               1     0     0    14     6   68.021
   7 Columbia                                    2     0     0    34    26   67.630
   8 Maine                                       1     0     0    13     7   67.029
   9 Southern California                         3     2     0   126   107   67.007
  10 Penn State                                  1     0     0    20     7   66.564
  11 Pennsylvania                                1     0     1    28     7   65.350
  12 Wayne State                                 1     0     0    32    12   65.218
  13 Holy Cross                                  1     0     0    20     6   64.213
  14 Army                                        5     2     2   220    68   64.038
  15 SMU                                         4     0     0    80    39   63.918
  16 California                                  9     1     0   275   111   63.576
  17 Western Carolina                            1     0     0    28     0   63.513
  18 Georgia Tech                               10     1     0   240    49   63.134
  19 Illinois                                    5     3     1   204   102   62.952
  20 Alabama                                     8     3     0   210   101   62.718
  21 North Carolina                              8     2     0   210    93   62.680
  22 Purdue                                      3     3     0   101    91   62.348
  23 Minnesota                                   6     3     0   174   127   62.172
  24 Mississippi                                 9     2     0   269   110   62.149
  25 Rice                                        2     1     0    74    27   62.071
  26 UCLA                                        3     2     0    99    54   61.284
  27 Indiana                                     5     3     1   156   102   60.894
  28 Wisconsin                                   2     3     1    95   130   60.867
  29 Little Creek(VA)                            1     0     0    31     7   60.756
  30 LSU                                         5     3     1   149   161   60.245
  31 Northwestern                                3     6     0   129   196   60.083
  32 Kentucky                                    8     3     0   175    73   59.994
  33 Vanderbilt                                  5     3     0   107    73   59.988
  34 Michigan State                              7     2     0   167   101   59.663
  35 Connecticut                                 4     4     0   102    85   59.574
  36 Arkansas                                    6     4     1   191   145   58.611
  37 Lenoir-Rhyne(NC)                            1     0     0    27     9   58.608
  38 Kansas                                      8     0     2   290    82   58.533
  39 Oklahoma                                    7     2     1   194   161   58.450
  40 Iowa                                        3     5     1   145   179   58.418
  41 Mississippi State                           7     3     0   169    89   58.408
  42 Erskine(SC)                                 1     0     0    13     0   58.374
  43 Maryville(TN)                               1     0     0    13     6   58.290
  44 Duke                                        4     3     2    79    90   58.180
  45 Catawba(NC)                                 1     0     0     7     0   58.029
  46 Detroit                                     2     1     0    92    44   57.951
  47 Georgia                                     7     4     1   212   135   57.831
  48 Maryland                                    7     2     2   207   121   57.777
  49 Miami(OH)                                   9     0     1   240    97   57.630
  50 Texas A&M                                   1     2     1    72    66   57.255
  51 Ohio State                                  2     6     1    60   150   57.047
  52 Oregon                                      7     3     0   174   121   57.008
  53 Tulane                                      2     4     2    94   159   56.673
  54 Kansas                                      0     1     0    14    20   56.545
  55 Tennessee                                   2     5     0    77   138   56.527
  56 Navy                                        1     7     1    86   165   56.525
  57 TCU                                         3     3     1    69    53   56.492
  58 Canisius(NY)                                1     0     0    25    20   56.473
  59 Missouri                                    6     4     0   240   116   56.470
  60 Wake Forest                                 3     2     0    55    67   56.460
  61 Pepperdine                                  1     0     0    27     6   56.331
  62 Pittsburgh                                  1     5     0    24   193   55.938
  63 Baylor                                      5     5     0   127   138   55.710
  64 North Carolina State                        5     3     1    92    57   55.498
  65 Hardin-Simmons(TX)                          4     1     0   150    48   55.344
  66 William & Mary                              1     2     0    46    34   55.321
  67 Nevada                                      9     2     0   321   154   55.305
  68 Elon(NC)                                    1     0     0     7     0   55.250
  69 Howard Payne(TX)                            1     0     0    14     0   55.238
  70 North Carolina State Freshmen               1     0     0    20    12   55.193
  71 Buffalo                                     8     1     0   258    79   54.890
  72 Dayton                                      3     1     0    64    52   54.726
  73 San Francisco                               1     2     0    58    68   54.708
  74 South Carolina                              2     2     1    42    71   54.359
  75 Marquette                                   1     2     0    52    82   53.842
  76 Cincinnati                                  7     3     0   182   168   53.596
  77 Boston College                              5     4     0   184   134   53.552
  78 Washington State                            2     3     0    40    67   53.547
  79 Honolulu All-Stars(HI)                      1     0     0    34     7   53.532
  80 Wisconsin-Milwaukee                         1     0     0    12     0   53.308
  81 St. Joseph's(IN)                            0     0     1     7     7   53.211
