Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Ohio State                                 10     0     0   249    75   68.719
   2 UCLA                                        9     0     0   367    40   65.933
   3 Notre Dame                                  9     1     0   261   115   64.456
   4 Oklahoma                                   10     0     0   304    62   63.406
   5 Wisconsin                                   7     2     0   200    98   63.314
   6 Navy                                        8     2     0   304    73   62.050
   7 Miami (Florida)                             8     1     0   257    94   61.731
   8 Iowa                                        5     4     0   192   141   61.406
   9 Purdue                                      5     3     1   165   134   60.890
  10 Maryland                                    7     2     1   284    67   60.297
  11 Minnesota                                   7     2     0   195   127   60.296
  12 Mississippi                                 9     2     0   283    68   60.167
  13 Georgia Tech                                8     3     0   189    97   60.034
  14 Miami (Ohio)                                3     0     0    54    35   59.980
  15 Auburn                                      8     3     0   276    86   59.955
  16 Michigan                                    6     3     0   139    87   59.646
  17 Arkansas                                    8     3     0   195   104   59.540
  18 Southern Methodist                          6     3     1   184   135   59.210
  19 Rice                                        7     3     0   205   148   58.768
  20 Duke                                        8     2     1   270   161   58.705
  21 Army                                        7     2     0   325   127   58.640
  22 Southern California                         8     4     0   258   159   58.580
  23 Quantico Marines                            1     0     0    20     0   58.220
  24 Baylor                                      7     4     0   250   174   58.186
  25 Trinity (Texas)                             4     0     0    66    21   57.655
  26 Kentucky                                    7     3     0   151   129   57.544
  27 West Virginia                               8     1     0   209    74   56.859
  28 Pittsburgh                                  4     5     0    83   188   56.444
  29 Florida                                     5     5     0   115   128   56.386
  30 Michigan State                              3     6     0   177   149   56.378
  31 Texas                                       4     5     1   158   161   56.280
  32 Texas Christian                             4     6     0   164   155   55.638
  33 California                                  5     5     0   249   177   55.578
  34 Georgia                                     6     3     1    89    89   55.053
  35 Indiana                                     3     6     0   110   143   54.968
  36 Penn State                                  7     2     0   206    92   54.913
  37 Mississippi State                           6     4     0   192   120   54.720
  38 Cincinnati                                  8     2     0   249   107   54.406
  39 Wichita State                               9     1     0   325    79   54.391
  40 Louisiana State                             5     6     0   125   173   54.129
  41 Colorado                                    7     2     1   283    91   54.112
  42 Virginia Tech                               8     0     1   198    75   53.844
  43 South Carolina                              6     4     0   172   153   53.771
  44 Texas Tech                                  7     2     1   367   157   53.347
  45 Missouri                                    4     5     1   198   261   53.326
  46 Massachusetts                               1     0     0    13     7   53.007
  47 Alabama                                     4     5     2   123   104   52.938
  48 Oregon                                      6     4     0   218   159   52.815
  49 Nebraska                                    6     5     0   233   202   52.700
  50 Northwestern                                2     7     0   101   142   52.491
  51 Clemson                                     5     5     0   193   121   52.208
  52 Texas-El Paso                               8     3     0   290   197   51.719
  53 North Carolina                              4     5     1   140   222   51.502
  54 Boston College                              8     1     0   196    74   51.491
  55 Tennessee                                   4     6     0   105   164   51.420
  56 Xavier                                      1     1     0    19    47   51.419
  57 Stanford                                    4     6     0   123   229   51.192
