Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 St. Mary's Pre-Flight(CA)                   1     0     0    39     0   81.315
   2 Del Monte Pre-Flight(CA)                    1     0     0    47     8   78.642
   3 Notre Dame                                  9     1     0   340    69   72.643
   4 Southern California                         2     0     0    20     0   72.596
   5 Pacific                                     1     0     0    12     6   71.391
   6 Alameda Coast Guard(CA)                     1     0     0     7     0   71.265
   7 Michigan                                    8     1     0   302    73   70.141
   8 Navy                                        8     1     0   237    80   67.535
   9 Great Lakes NTS(IL)                         4     1     0    74    47   67.362
  10 Northwestern                                6     2     0   189    64   67.326
  11 Duke                                        8     1     0   335    34   66.812
  12 Iowa Navy Pre-Flight                        6     1     0   184    64   64.795
  13 Purdue                                      5     0     0   119    42   64.168
  14 Louisiana-Lafayette                         5     0     1   172    40   64.054
  15 California                                  4     6     0    99   143   63.872
  16 Southwestern(TX)                            1     0     0     7     0   63.195
  17 Georgia Tech                                8     3     0   300   142   63.185
  18 Colorado College                            3     0     0    42    13   63.012
  19 Bainbridge NTS(MD)                          1     0     0    46     0   60.780
  20 Arkansas-Monticello                         2     1     1    82    56   60.057
  21 North Carolina                              6     3     0   173    93   58.515
  22 Tulsa                                       1     1     0    79    20   58.031
  23 Tulane                                      1     1     0    27    33   57.759
  24 Western Michigan                            2     1     0    31    57   57.706
  25 Minnesota                                   5     4     0   170   184   57.387
  26 Randolph Field(TX)                          0     1     0     0     6   57.148
  27 New Mexico State                            4     0     0   107    20   56.454
  28 Texas                                       1     0     0    34     0   56.400
  29 Camp Grant(IL)                              1     2     0    30    39   56.200
  30 Indiana                                     4     4     2   193   106   56.116
  31 Wheaton(IL)                                 1     0     1    20    13   55.952
  32 Boston College                              4     0     1   156    18   55.903
  33 Harvard                                     0     0     1     6     6   55.903
  34 New Mexico                                  3     2     0    85    59   55.757
  35 Eastern Michigan                            2     0     0    28     0   55.520
  36 Ohio State                                  3     6     0   149   187   55.486
  37 Daniel Field(GA)                            1     0     0    18     7   55.105
  38 Army                                        7     2     1   299    66   55.065
  39 UCLA                                        0     2     0     6    26   54.623
  40 St. Mary's(CA)                              0     1     0    12    27   54.537
  41 Pennsylvania                                0     2     1    26    46   54.195
  42 Fort Benning - 176th Infantry(GA)           0     1     0     7    20   54.011
  43 Colorado                                    5     2     0   134    47   53.704
  44 Oklahoma                                    5     0     0   130    40   53.175
  45 Illinois                                    3     7     0   154   308   53.030
  46 Miami(OH)                                   7     2     1   293    91   52.984
  47 Northern Illinois                           4     1     1   117    53   52.945
  48 Texas A&M                                   2     1     0    55    32   52.850
  49 Penn State                                  1     2     0    51    33   52.541
  50 LSU                                         6     3     0   162   158   52.495
  51 Fort Riley(KS)                              1     0     0    22     7   52.084
  52 Cornell                                     0     1     0     7    46   52.000
  53 San Francisco                               1     1     0     6    32   51.884
  54 Southwestern State(TX)                      0     1     0     6    27   51.377
  55 Ottumwa NAS(IA)                             1     0     0    13    12   50.778
  56 Virginia                                    1     2     0    46   103   49.920
  57 Fort Bliss(TX)                              0     1     0    14    21   49.592
  58 Kirkland AFB(NM)                            0     1     0    13    19   49.049
