Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 MICHIGAN                                   15     0     0   538   156  132.672
   2 GEORGIA                                    13     1     0   562   219  128.906
   3 WASHINGTON                                 14     1     0   540   372  128.248
   4 ALABAMA                                    12     2     0   476   266  127.726
   5 OHIO STATE                                 11     2     0   397   146  127.627
   6 OREGON                                     12     2     0   619   231  127.390
   7 TEXAS                                      12     2     0   501   265  126.633
   8 FLORIDA ST                                 13     1     0   484   270  126.157
   9 PENN STATE                                 10     3     0   471   175  126.113
  10 MISSOURI                                   11     2     0   423   271  126.013
  11 MISSISSIPPI                                11     2     0   456   293  125.478
  12 LSU                                        10     3     0   592   364  124.376
  13 NOTRE DAME                                 10     3     0   509   207  124.128
  14 ARIZONA                                    10     3     0   450   274  123.457
  15 SOUTH DAKOTA ST                            15     0     0   560   139  123.402
  16 OKLAHOMA                                   10     3     0   542   305  123.359
  17 KANSAS ST                                   9     4     0   482   273  123.183
  18 TENNESSEE                                   9     4     0   413   264  122.452
  19 LOUISVILLE                                 10     4     0   430   298  122.034
  20 SOUTHERN CAL                                8     5     0   544   447  121.824
  21 OREGON ST                                   8     5     0   414   298  121.777
  22 CLEMSON                                     9     4     0   388   274  121.337
  23 UTAH                                        8     5     0   301   251  121.286
  24 IOWA                                       10     4     0   216   207  121.239
  25 KANSAS                                      9     4     0   452   345  121.212
  26 OKLAHOMA ST                                10     4     0   414   400  121.051
  27 NORTH CAROLINA ST                           9     4     0   341   270  120.862
  28 DUKE                                        8     5     0   350   247  120.842
  29 MARYLAND                                    8     5     0   386   292  120.553
  30 WEST VIRGINIA                               9     4     0   409   340  120.449
  31 HARDING                                    15     0     0   703   156  120.352
  32 TEXAS A&M                                   7     6     0   433   287  120.239
  33 JAMES MADISON                              11     2     0   443   253  120.028
  34 LIBERTY                                    13     1     0   536   340  119.907
  35 KENTUCKY                                    7     6     0   378   336  119.849
  36 TROY                                       11     3     0   415   240  119.702
  37 IOWA ST                                     7     6     0   341   296  119.675
  38 TEXAS TECH                                  7     6     0   356   338  119.515
  39 UCLA                                        8     5     0   344   239  119.496
  40 MIAMI FL                                    7     6     0   409   296  119.434
  41 RUTGERS                                     7     6     0   302   276  119.362
  42 NORTH CAROLINA                              8     5     0   449   355  119.279
  43 NORTHWESTERN                                8     5     0   287   293  119.111
  44 GEORGIA TECH                                7     6     0   404   383  118.824
  45 CALIFORNIA                                  6     7     0   393   426  118.714
  46 FLORIDA                                     5     7     0   341   331  118.413
  47 SMU                                        11     3     0   542   249  118.392
  48 MEMPHIS                                    10     3     0   512   374  118.327
