Rnk Team                         WON LOST   PF   PA     RATE      SOS
--- ----                         --- ----  ---  ---  -------  -------
104 14   Wis.-Whitewater           0    0    0    0      nan      nan (2373)
105 15   Bucknell                  0    0    0    0      nan      nan (2372)
106 15   Crown                     0    0    0    0      nan      nan (2371)
107 15   Gettysburg                0    0    0    0      nan      nan (2370)
108 15   Mercyhurst                0    0    0    0      nan      nan (2369)
109 15   Miami, Ohio               0    0    0    0      nan      nan (2368)
110 15   St. Mary KS               0    0    0    0      nan      nan (2367)
111 16   Anderson, Ind.            0    0    0    0      nan      nan (2366)
112 16   California, Pa.           0    0    0    0      nan      nan (2365)
113 16   Coe                       0    0    0    0      nan      nan (2364)
114 16   Dayton                    0    0    0    0      nan      nan (2363)
115 16   Elon                      0    0    0    0      nan      nan (2362)
116 16   Heidelberg                0    0    0    0      nan      nan (2361)
117 16   Idaho St.                 0    0    0    0      nan      nan (2360)
118 16   Lawrence                  0    0    0    0      nan      nan (2359)
119 16   Loras                     0    0    0    0      nan      nan (2358)
120 16   New Mexico St.            0    0    0    0      nan      nan (2357)
121 16   North Texas               0    0    0    0      nan      nan (2356)
122 16   Puget Sound               0    0    0    0      nan      nan (2355)
123 16   S. Connecticut            0    0    0    0      nan      nan (2354)
124 16   South Carolina            0    0    0    0      nan      nan (2353)
125 16   Southern Nazarene         0    0    0    0      nan      nan (2352)
126 16   Stonehill                 0    0    0    0      nan      nan (2351)
127 16   Tufts                     0    0    0    0      nan      nan (2350)
128 16   Washington & Lee          0    0    0    0      nan      nan (2349)
129 16   Wilkes                    0    0    0    0      nan      nan (2348)
130 16   Wis.-Stevens Pt.          0    0    0    0      nan      nan (2347)
131 16   Worcester St.             0    0    0    0      nan      nan (2346)
132 17   Amherst                   0    0    0    0      nan      nan (2345)
133 17   Bates                     0    0    0    0      nan      nan (2344)
134 17   Bentley                   0    0    0    0      nan      nan (2343)
135 17   Bethel, Tenn.             0    0    0    0      nan      nan (2342)
136 17   Bryant College            0    0    0    0      nan      nan (2341)
137 17   California                0    0    0    0      nan      nan (2340)
138 17   Canisius                  0    0    0    0      nan      nan (2339)
139 17   Carleton                  0    0    0    0      nan      nan (2338)
140 17   Case Reserve              0    0    0    0      nan      nan (2337)
141 17   Cent. Methodist           0    0    0    0      nan      nan (2336)
142 17   Clarion                   0    0    0    0      nan      nan (2335)
143 17   Coe                       0    0    0    0      nan      nan (2334)
144 17   Colorado                  0    0    0    0      nan      nan (2333)
145 17   Curry                     0    0    0    0      nan      nan (2332)
146 17   DePauw                    0    0    0    0      nan      nan (2331)
147 17   E. Oregon                 0    0    0    0      nan      nan (2330)
148 17   East Carolina             0    0    0    0      nan      nan (2329)
149 17   East Stroudsburg          0    0    0    0      nan      nan (2328)
150 17   Emory & Henry             0    0    0    0      nan      nan (2327)
151 17   Findlay                   0    0    0    0      nan      nan (2326)
152 17   Franklin&Marshall         0    0    0    0      nan      nan (2325)
153 17   Georgetown, D.C.          0    0    0    0      nan      nan (2324)
154 17   Greensboro                0    0    0    0      nan      nan (2323)
155 17   Hillsdale                 0    0    0    0      nan      nan (2322)
