Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Notre Dame                                  8     0     1   271    24   77.662
   2 Army                                        9     0     1   263    80   75.594
   3 Lehigh                                      1     0     0    10     0   74.852
   4 Georgia                                    11     0     0   392   110   74.361
   5 Tennessee                                   7     0     0   115    57   73.507
   6 Harvard                                     1     0     0     7     0   73.161
   7 Wesleyan(CT)                                1     0     0     7     2   72.791
   8 Texas                                       6     0     0   234    26   71.983
   9 Holy Cross                                  1     0     0    13     6   71.797
  10 Illinois                                    8     2     0   217   105   70.565
  11 Michigan                                    6     2     1   233    73   70.341
  12 Georgia Tech                                9     2     0   284   127   69.711
  13 Tulsa                                       6     0     0   179    31   69.516
  14 LSU                                         9     1     1   240   123   68.084
  15 Kentucky                                    7     3     0   233    97   67.117
  16 Alabama                                     7     4     0   186   110   66.688
  17 North Carolina                              8     2     1   271   129   66.596
  18 Indiana                                     6     3     0   129    95   66.079
  19 Cornell                                     0     1     0    21    46   66.009
  20 UCLA                                        4     1     0   109    58   65.787
  21 Connecticut                                 4     3     1   120    69   65.645
  22 New Hampshire                               0     0     1    12    12   65.644
  23 Iowa                                        5     4     0   129    92   65.378
  24 Mississippi State                           8     2     0   271    71   65.147
  25 Cincinnati                                  9     2     0   221    93   64.677
  26 Columbia                                    1     1     0    37    62   64.597
  27 Pennsylvania                                1     1     0    39    53   64.459
  28 Northwestern                                4     4     1   156   136   64.081
  29 Oklahoma                                    8     3     0   309   120   63.729
  30 Duke                                        4     5     0   134    86   63.669
  31 Boston College                              6     3     0   234   123   63.658
  32 Vanderbilt                                  4     3     0    67    36   63.349
  33 Arkansas                                    6     3     2   136    92   62.894
  34 Ohio State                                  4     3     2   166   170   62.772
  35 Oklahoma City                               2     0     0    52     9   62.598
  36 Minnesota                                   5     4     0   130   114   62.446
  37 Stanford                                    3     0     1    88    13   62.318
  38 Texas Tech                                  4     0     0    70    13   62.114
  39 Oregon State                                7     1     1   157    81   61.954
  40 SMU                                         3     1     0    67    19   61.940
  41 Tulane                                      3     5     0   160   164   61.698
  42 SE Louisiana                                2     0     0    49    27   61.497
  43 North Carolina State                        8     3     0   226   101   61.361
  44 Miami(FL)                                   8     2     0   200   147   60.908
  45 Wake Forest                                 2     3     0    51    66   60.823
  46 Maine                                       0     1     0    20    21   60.622
  47 Wisconsin                                   2     5     0    82   124   60.610
  48 Elon(NC)                                    1     0     0    13     6   60.426
  49 Rice                                        1     2     0    44    20   59.844
  50 Western Carolina                            1     0     0    13     7   59.838
  51 Washington                                  2     1     0    48    27   59.366
  52 Purdue                                      1     5     1    67   176   59.287
  53 Lenoir-Rhyne(NC)                            1     0     0     6     0   59.232
  54 Pittsburgh                                  1     4     0    40   113   59.058
  55 San Francisco                               2     1     0    84    68   59.051
  56 Michigan State                              5     5     0   181   202   58.860
  57 South Carolina                              2     2     0    53    84   58.807
  58 Mississippi                                 2     7     0    76   144   58.594
  59 Southern California                         2     3     0    63    53   58.422
  60 Kansas                                      7     2     1   157   145   58.383
  61 Richmond                                    1     1     0    37    48   58.104
  62 Texas A&M                                   2     3     0    80    50   57.940
  63 West Virginia                               0     2     0     0    32   57.820
  64 Navy                                        1     8     0   105   186   57.767
  65 Oklahoma State                              3     7     1   202   264   57.637
  66 William & Mary                              1     2     0    51    41   57.382
  67 Virginia Tech                               1     3     1    41    58   57.101
  68 Penn State                                  6     2     0   192    48   57.050
  69 Coast Guard                                 0     1     0    13    27   56.605
  70 Miami(OH)                                   7     3     0   220    72   56.590
  71 Clemson                                     4     5     0   147   174   56.582
  72 Georgetown(DC)                              0     1     0    13    20   56.561
  73 Missouri                                    5     4     1   158   166   56.128
  74 Louisiana Tech                              7     3     0   195    87   56.000
  75 Southern Miss                               2     1     0    25    19   55.711
  76 TCU                                         1     4     1    63    91   55.473
  77 Auburn                                      4     6     0   132   210   55.415
  78 Nebraska                                    3     6     0   126   161   55.161
  79 Villanova                                   1     4     0    60   102   54.860
  80 Nevada                                      7     2     0   324    82   54.532
  81 Tennessee-Chattanooga                       0     3     0    47   122   53.844
  82 St. Mary's(CA)                              1     2     0    45    73   53.830
  83 Sam Houston State                           2     0     0    40     6   53.780
  84 San José State                             3     0     0    53    16   53.369
  85 Maryland                                    3     6     0   136   193   53.042
  86 California                                  2     7     0   112   169   53.042
  87 Hardin-Simmons(TX)                          4     0     0   135    21   52.628
  88 Marquette                                   2     2     0    73    61   52.350
  89 East Carolina                               5     3     1   158    58   52.284
  90 Dayton                                      2     2     0    43    68   52.262
  91 Oregon                                      4     4     1    81   118   52.099
  92 Abilene Christian                           1     0     0     6     0   51.819
  93 Ohio                                        6     3     0   206    97   51.154
  94 Hawaii                                      8     2     0   275    93   51.127
  95 Washington State                            1     3     1    78    86   51.119
  96 St. Bonaventure                             1     0     0    13     9   50.838
  97 Virginia                                    0     2     0    21    76   50.693
  98 Baylor                                      1     8     0    56   181   50.689
  99 Colgate                                     0     1     0     2     6   50.458
 100 Florida                                     0     9     0   104   264   50.290
 101 Detroit                                     0     1     0     7    21   50.283
 102 Springfield(MA)                             0     1     0     0    25   50.278
 103 Utah                                        5     1     0   141    46   50.068
 104 San Diego State                             1     1     0     7    26   49.077
 105 Louisiana-Lafayette                         6     4     0   188   130   48.643
 106 Howard Payne(TX)                            0     1     0     7    13   48.441
 107 VMI                                         0     2     0    13    81   48.394
 108 Rhode Island                                1     1     0    14    39   48.393
 109 Syracuse                                    0     1     0     0     9   48.390
 110 Atlantic Christian(NC)                      0     1     1    12    32   48.071
 111 St. Louis                                   0     2     0    21    46   47.128
 112 Denver                                      2     2     1    92    87   47.059
 113 Bates(ME)                                   1     0     0     6     0   46.791
 114 North Dakota State                          0     1     0     0    39   46.610
 115 Montana                                     2     1     0    47    34   46.536
 116 Furman                                      0     5     0    33   183   46.521
 117 Baldwin-Wallace(OH)                         2     1     0    67    33   46.384
 118 Fresno State                                8     4     0   177   129   46.311
 119 Davidson                                    0     1     0     0    25   45.988
 120 Merchant Marine(NY)                         0     1     0     7    56   45.779
 121 Wichita State                               1     1     0    41    33   45.672
 122 Washington & Lee                            0     2     0    27    64   45.500
 123 Western Michigan                            1     2     0    34    66   45.418
 124 Temple                                      0     2     0     7    61   45.146
 125 Northwestern State                          0     4     0    21    76   44.968
 126 North Texas                                 7     3     1   127   102   44.876
 127 McMurry(TX)                                 0     0     1     7     7   44.873
 128 Bradley                                     1     1     0    32    37   44.400
 129 Colorado                                    5     4     1    91   147   44.380
 130 Bowling Green                               5     3     0    95    39   44.354
 131 Arizona                                     4     4     2   218   136   43.977
 132 Montana State                               1     1     1    40    63   43.651
 133 Southwestern(TX)                            0     2     0    27    55   43.638
 134 Western Kentucky                            1     0     0    20    19   43.388
 135 New York(NY)                                0     1     0     6    72   43.242
 136 Hawaii All-Stars                            1     1     0    25    27   43.216
