Rank                                           Won  Lost  Tied    PF    PA   Rating
 126 Tennessee-Chattanooga                       0     3     0    14    67   47.285
 127 Iowa State                                  4     6     0   116   197   47.119
 128 New Hampshire                               1     0     0    20     7   47.115
 129 Bowling Green                               8     0     1   230   100   47.053
 130 Wayne State                                 1     0     0    27    12   46.888
 131 Loyola Marymount(CA)                        1     0     0    16    12   46.802
 132 Duquesne(PA)                                0     2     0     6    90   46.656
 133 St. Louis                                   1     1     0    28    67   46.566
 134 Western Michigan                            1     1     0    35    34   46.507
 135 Presbyterian(SC)                            0     1     0     0    53   46.501
 136 Nebraska                                    2     8     0   137   273   46.264
 137 Boston University                           0     1     0    14    34   46.174
 138 Detroit                                     0     1     0     0     6   45.982
 139 Cal Poly-SLO                                1     0     0    26    14   45.831
 140 Idaho                                       3     6     0   154   156   45.669
 141 Heidelberg(OH)                              1     0     0    34     0   45.632
 142 Richmond                                    0     1     0     0    19   45.577
 143 Colorado                                    3     6     0   168   164   45.180
 144 Hardin-Simmons(TX)                          1     1     1    84    52   44.946
 145 Delaware                                    0     1     0     0    21   44.890
 146 Florida State                               7     1     0   152    64   44.745
 147 Marquette                                   0     4     0    26   110   44.654
 148 Sam Houston State                           0     1     1    25    34   44.553
 149 Yale                                        1     0     0     7     0   44.512
 150 East Carolina                               0     9     0    38   206   44.355
 151 Hawaii                                      7     4     1   366   289   44.351
 152 Islanders(HI)                               0     0     1    20    20   44.347
 153 Xavier(OH)                                  2     3     0    87   116   44.270
 154 Cincinnati                                  3     6     1   106   193   44.226
 155 Utah State                                  2     2     0    63    61   44.014
 156 Pensacola NAS(FL)                           1     1     0    33    48   43.751
 157 San Francisco                               0     1     0     7    26   43.711
 158 Milligan(TN)                                1     0     0     7     0   43.566
 159 Wichita State                               0     2     0    28    83   43.271
 160 Kent State                                  6     2     1   227    89   43.178
 161 Springfield(MA)                             2     0     0    41     7   42.787
 162 Indiana State                               0     1     0     7    10   42.564
 163 Memphis                                     6     5     0   218   129   42.543
 164 Abilene Christian                           0     1     0     6    40   42.474
 165 Alfred(NY)                                  0     1     0     0     8   42.462
 166 RPI                                         0     1     0    21    39   42.339
 167 George Washington                           0     3     0     0   121   42.328
 168 Eastern Michigan                            3     5     0    66   114   41.735
 169 Brigham Young                               5     6     0   135   199   41.685
 170 North Texas                                 0     2     0    13    56   41.594
 171 Rollins(FL)                                 0     2     0    12    66   41.403
 172 East Tennessee State                        1     0     0     2     0   41.182
 173 SE Louisiana                                0     2     0    25    38   41.042
 174 Anderson(IN)                                0     1     0     7    14   40.846
 175 Bradley                                     1     2     0    43    54   40.808
 176 Baldwin-Wallace(OH)                         1     1     0    41    33   40.807
 177 Arizona State                               5     5     0   276   192   40.651
 178 Canisius(NY)                                0     0     1     7     7   40.588
 179 Marshall                                    2     7     1    71   243   40.584
 180 Denver                                      0     2     0    10    54   40.485
 181 Oklahoma City                               0     1     0    13    79   40.363
 182 Northwestern State                          1     2     0    55    44   40.233
 183 Louisville                                  5     5     0   186   194   40.221
 184 Western Reserve(OH)                         0     2     1    27    89   39.913
 185 Washington & Jefferson(PA)                  0     1     0    14    41   39.519
 186 Millsaps(MS)                                0     1     0     6     7   39.507
 187 Troy(AL)                                    0     2     0    32    46   39.410
 188 Wyoming                                     0     2     0    34    36   39.107
 189 Texas A&M-Commerce                          0     2     0    14    64   38.932
 190 New Mexico                                  1     3     0    46    68   38.915
 191 Ohio                                        0     3     0    20    52   38.710
 192 Bucknell                                    0     1     0    13    47   38.217
 193 Fresno State                                3     6     1   108   267   37.713
 194 Central Michigan                            3     6     0   127   139   37.618
 195 West Alabama                                0     1     0     6    12   37.160
 196 Connecticut                                 3     5     0   172   147   37.021
 197 Kansas State                                1     9     0    78   323   36.945
 198 Louisiana College                           0     2     0    14    47   36.913
 199 Texas A&M-Kingsville                        0     1     0     0    14   36.639
 200 Ford Island(HI)                             0     1     0     7    14   36.476
 201 Portland(OR)                                0     1     1     6    34   36.334
 202 Montana State                               0     1     0    12    28   36.185
 203 Muskingum(OH)                               1     0     0    21    12   36.142
 204 Pepperdine                                  1     2     0    21    59   36.126
 205 Middle Tennessee State                      5     5     0    93   116   36.103
 206 Toledo                                      0     1     0     6    21   36.097
 207 Mount Union                                 1     1     0    19    18   35.889
 208 Butler                                      0     1     0     7    16   35.584
 209 Colorado College                            0     1     0     6    25   35.582
 210 Stetson(FL)                                 0     1     0     7    18   35.375
 211 Northern Iowa                               0     1     0     7    27   35.071
 212 Howard Payne(TX)                            0     1     0     0    20   34.712
 213 Tampa                                       0     1     0    12    33   34.223
 214 Montana                                     0     2     0    20    65   34.054
 215 San Diego State                             0     3     0    18    35   34.008
 216 Catawba                                     0     1     0    21    33   33.051
 217 Morningside(IA)                             0     1     0     7    38   32.785
 218 Hobart(NY)                                  0     1     0     0    39   32.563
 219 Tampa(FL)                                   0     1     0    16    43   32.128
 220 Manchester(IN)                              0     1     0     0    35   31.611
 221 Valparaiso(IN)                              0     2     0     7    46   31.597
 222 Maryville(TN)                               0     1     0    12    13   30.977
 223 Kauai Broncos                               0     1     0     0    20   30.943
 224 Morehead State                              0     1     0     7    19   30.881
 225 Colorado School of Mines                    0     1     0     0    33   30.844
 226 Charleston(WV)                              0     1     0     6    48   30.642
 227 Northern Michigan                           0     2     0    14    52   30.535
 228 Wahiawa Leilehua HS(HI)                     0     2     0    18    91   30.133
 229 Waynesburg(PA)                              0     1     0     7    34   29.653
 230 Union(TN)                                   0     2     0     9    34   29.505
 231 Huntington(IN)                              0     1     0     0    53   29.066
 232 Delta State                                 0     0     1    13    13   28.745
 233 Arkansas State                              4     4     1   131   186   28.744
 234 Akron                                       2     6     0    46   146   28.433
 235 Olympic AC(CA)                              0     1     0     7    53   27.846
 236 Norwich(VT)                                 1     0     0    27    19   27.474
 237 Devens(MA)                                  1     0     0    20    14   27.452
 238 New Mexico State                            0     2     0    13    93   27.007
 239 St. Joseph's(IN)                            0     1     0     0    20   26.856
 240 Rhode Island                                1     1     0    25    40   26.852
 241 Wisconsin-Milwaukee                         0     1     0     6    21   26.669
 242 Western State(CO)                           0     1     0     0    23   26.280
 243 Cumberland(TN)                              0     2     0     0    43   26.084
 244 SE Missouri State                           0     1     0     7    20   26.063
 245 UCSB                                        0     1     0     7    28   25.419
 246 Cardinals(HI)                               0     1     0     0    47   25.024
 247 Ferris State(MI)                            0     1     0     6    27   24.993
 248 Western Kentucky                            0     2     0    18    32   24.884
 249 Redlands(CA)                                0     1     0     0    55   24.014
 250 Athens St(AL)                               0     1     0     0    45   23.628
 251 Findlay(OH)                                 0     2     0    16    42   23.080
 252 Maine                                       0     1     0     6    34   22.893
 253 Southern Illinois                           0     1     0    21    27   22.687
 254 Northern Arizona                            0     1     0     0    40   22.424
 255 Tufts(MA)                                   0     0     1    13    13   20.848
 256 Mississippi College                         0     2     0     6    38   20.825
 257 Massachusetts                               3     4     1   124   123   20.822
 258 Champlain(NY)                               0     1     0     7    64   19.714
 259 Henderson State                             0     1     0    14    34   18.952
 260 Wooster(OH)                                 0     2     0     6    59   18.502
 261 Bates(ME)                                   0     1     0     6     7   15.619
 262 Worcester Tech(MA)                          0     1     0     7    26    9.153
 263 Vermont                                     0     1     0     0    33    4.291
