Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Georgia                                    11     1     0   376    76   70.455
   2 North Carolina Navy Pre-Flight              3     0     0    62     7   69.340
   3 Georgia Navy Pre-Flight                     4     1     0   109    79   68.831
   4 Georgia Tech                                9     2     0   219    87   68.221
   5 Alabama                                     8     3     0   246    97   67.944
   6 Jacksonville NAS(FL)                        4     1     0    71    27   67.044
   7 Tennessee                                   9     1     1   259    61   67.042
   8 Ohio State                                  9     1     0   337   114   66.898
   9 Marquette                                   4     0     0   115    19   66.359
  10 Boston College                              8     2     0   282   111   66.064
  11 LSU                                         7     3     0   192   117   65.743
  12 Mississippi St                              8     2     0   200    77   65.505
  13 Holy Cross                                  3     1     0    96    31   65.095
  14 Notre Dame                                  7     2     2   184    99   64.985
  15 Tulsa                                       4     1     0   128    27   64.852
  16 Auburn                                      6     4     1   174   133   64.848
  17 Wisconsin                                   5     1     1    94    54   64.738
  18 Texas                                       9     2     0   244    49   63.870
  19 Great Lakes NTS(IL)                         6     1     1   158    33   63.730
  20 Rice                                        7     2     1   177    74   63.393
  21 Michigan                                    7     3     0   221   134   63.285
  22 Carnegie-Mellon                             1     0     0    27    14   63.266
  23 William & Mary                              2     0     0    17     7   63.235
  24 Tulane                                      4     5     0   121   154   62.641
  25 Washington & Jefferson(PA)                  1     0     0    13     7   62.233
  26 Georgetown(DC)                              3     1     1    55    79   62.127
  27 Duke                                        5     4     1   211    98   62.083
  28 Iowa Navy Pre-Flight                        6     3     0   198   114   61.979
  29 Santa Clara                                 3     0     0    28    12   61.912
  30 Villanova                                   3     1     0    71    31   61.762
  31 Illinois                                    6     4     0   227   126   60.970
  32 NC Navy Pre-Flight                          0     1     0     6     7   60.811
  33 2nd Air Force(CO)                           2     0     0    41    13   60.738
  34 Penn State                                  6     1     1    91    70   60.670
  35 Minnesota                                   5     4     0   152    91   60.650
  36 Wake Forest                                 3     2     1    72    60   60.456
  37 Miami(FL)                                   7     2     0   195    60   60.040
  38 Indiana                                     7     3     0   256    79   60.011
  39 Syracuse                                    6     3     0   152    61   59.966
  40 North Carolina                              5     2     2   149   102   59.888
  41 Dartmouth                                   1     0     0    58     7   59.496
  42 Fordham                                     2     3     1    67   141   59.467
  43 TCU                                         7     3     0   129    82   59.412
  44 Navy                                        5     4     0    82    58   59.146
  45 West Virginia                               3     3     0    57    61   59.033
  46 Iowa                                        6     4     0   147   135   59.001
  47 Vanderbilt                                  3     4     0    87   113   58.862
  48 North Carolina St                           4     4     2    70   142   58.848
  49 Army                                        6     3     0   149    74   58.834
  50 Colgate                                     1     2     0    24    47   58.805
  51 UCLA                                        5     3     0   139    64   58.551
  52 Michigan St                                 4     3     2   120    99   58.495
  53 Princeton                                   1     1     0    17    40   58.304
  54 Baylor                                      6     4     1   148   116   58.292
  55 San Francisco                               4     1     0   141    58   58.208
  56 Texas A&M                                   4     5     1   130    79   58.133
  57 Missouri                                    8     3     1   288   107   58.133
  58 Hardin-Simmons(TX)                          6     0     2   174    58   58.112
  59 Pennsylvania                                1     2     0    26    20   58.107
  60 Stanford                                    6     4     0   204   121   57.548
  61 Washington St                               5     2     0    83    73   57.113
  62 Cincinnati                                  8     2     0   197    95   57.018
  63 VMI                                         1     1     1    35     7   56.470
  64 Southern California                         5     5     1   184   128   56.428
  65 Kentucky                                    3     6     1   155   154   56.358
  66 Temple                                      2     5     3    48   135   55.909
  67 Florida                                     3     7     0   106   185   55.705
  68 Northwestern                                1     9     0    96   209   55.516
  69 Schreiner Institute(TX)                     1     0     0    28     0   55.162
  70 Texas Tech                                  4     5     1   111    87   55.117
  71 Northwestern St                             2     1     0    21    52   55.102
  72 Corpus Christi NAS(TX)                      1     3     0    31    86   55.071
  73 Maryland                                    7     2     0   198   124   55.037
  74 SMU                                         3     6     2   126   133   54.959
  75 Pittsburgh                                  3     6     0    90   190   54.929
  76 Clemson                                     3     6     1   100   138   54.822
  77 Cornell                                     0     2     1    15    40   54.796
  78 Lehigh                                      1     1     0    31    29   54.690
  79 George Washington                           1     1     0    13    27   54.679
  80 Buffalo                                     6     2     0   215    52   54.678
  81 Great Lakes NTS                             0     1     0     0     9   54.626
  82 Oklahoma St                                 6     3     1   235   116   54.572
  83 Creighton                                   1     1     0    19    26   54.336
  84 Wesleyan(CT)                                1     0     0    20     7   54.332
  85 Ouachita Baptist                            2     0     0    38     7   54.179
  86 Manhatten Beach Coast Guard(NY)             1     0     0    26     0   54.096
  87 Davidson                                    0     3     1    14    97   53.946
  88 Arizona                                     6     4     0   189   139   53.808
  89 Virginia Tech                               0     1     1    28    40   53.762
  90 Washington                                  2     2     1    41    46   53.721
  91 Duquesne(PA)                                1     2     0    45    41   53.714
  92 Fresno St                                   9     1     0   362    45   53.237
  93 California                                  5     5     0    98   107   53.180
  94 Oregon St                                   4     5     1   157   142   53.094
  95 Chattanooga                                 1     3     0    63   109   52.874
  96 Lafayette                                   1     1     0    19    27   52.860
  97 Furman                                      1     3     0    27   104   52.721
  98 Oklahoma                                    3     5     2   135    78   52.583
  99 Purdue                                      1     8     0    27   179   52.242
 100 Arkansas                                    3     7     0    89   228   51.074
 101 Yale                                        0     1     0     6    13   51.002
 102 Dayton                                      3     2     0    66    67   50.973
 103 South Carolina                              1     7     1    46   130   50.821
 104 Mississippi                                 2     7     0   132   163   50.463
 105 Western Reserve(OH)                         4     2     0   106    58   50.405
 106 Bucknell                                    0     2     1    21    30   50.218
 107 Fort Riley(KS)                              1     1     0    21    38   50.133
 108 Union(TN)                                   1     1     0    41    35   50.115
 109 Louisiana Tech                              6     3     0   252    90   49.944
 110 Furman(SC)                                  0     1     0    13    32   49.823
 111 Columbia                                    0     2     0    15    47   49.812
 112 St. Mary's Pre-Flight(CA)                   1     3     0    42    70   49.699
 113 Colorado                                    7     2     0   251    73   49.685
 114 St. Mary's(CA)                              1     1     0    20    12   49.596
 115 West Texas A&M                              4     1     0    71    46   49.549
 116 Rutgers                                     3     4     1   100   113   49.286
 117 Fort Monmouth(NJ)                           0     0     1     0     0   49.285
 118 Amherst(MA)                                 1     0     0    43     0   49.192
 119 Western Michigan                            1     0     0    13     0   49.178
 120 Nebraska                                    3     7     0    55   158   48.987
 121 Oregon                                      2     6     0    67   138   48.878
 122 Camp Grant(IL)                              1     2     0    57    53   48.692
