Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Army                                        9     0     0   504    35   77.877
   2 Melville PT Boats(RI)                       1     0     0    45     0   71.459
   3 Michigan                                    1     0     0    14     0   71.134
   4 Ohio State                                  1     0     0    26    12   69.120
   5 Saint Mary's Pre-Flight(CA)                 1     0     0    33     6   68.342
   6 Purdue                                      1     0     0    35    19   68.233
   7 Tulsa                                       2     0     0    59    14   68.162
   8 2nd Air Force(CO)                           1     0     0    33     6   67.927
   9 Notre Dame                                  2     1     0    34    66   67.805
  10 Washington                                  1     0     0    33     7   67.688
  11 North Carolina Navy Pre-Flight              1     0     0    13     6   67.524
  12 Fleet City USNTDC(CA)                       1     0     0    19     2   66.912
  13 Pennsylvania                                1     1     0    25    69   66.772
  14 Miami(OH)                                   1     0     0    28     7   65.772
  15 Bunker Hill NAS(IN)                         1     0     0    27     7   65.527
  16 Harvard                                     1     0     0    13     0   63.192
  17 Oklahoma State                              1     0     0    19     0   62.788
  18 Texas                                       1     0     0    19     0   62.788
  19 Alameda Coast Guard(CA)                     1     0     0    12     6   61.895
  20 Normas NAS(OK)                              1     0     0    27     7   61.776
  21 Holy Cross                                  1     0     0    30    14   61.622
  22 Baldwin-Wallace(OH)                         1     0     0    13     6   61.518
  23 Brown                                       0     1     0     7    59   60.679
  24 Navy                                        1     2     0    29    40   60.623
  25 Central Normal(IN)                          2     0     0    38    12   60.410
  26 Illinois                                    5     4     1   273   149   60.159
  27 Great Lakes NTS(IL)                         0     0     1    26    26   60.142
  28 Bates(ME)                                   1     0     0     6     0   59.645
  29 Georgia Tech                                8     3     0   253   101   59.501
  30 Duke                                        6     4     0   230   118   59.498
  31 Fort Warren(WY)                             1     0     0     7     6   59.123
  32 Western Michigan                            1     0     0    35    14   59.087
  33 Southern Cal                                1     0     1    38     6   58.838
  34 SMU                                         1     0     0    20    12   57.122
  35 UCLA                                        1     1     0     7     6   54.458
  36 California                                  3     6     1    78   149   54.310
  37 Coast Guard                                 0     1     0     0    76   54.255
  38 Colorado                                    6     2     0   201    72   53.884
  39 Bowling Green                               5     3     0   133   117   53.493
  40 Villanova                                   0     1     0     0    83   53.489
  41 Indiana                                     0     1     0    18    26   53.432
  42 Connecticut                                 7     1     0   152    13   52.730
  43 Boston College                              4     3     0   132   134   52.627
  44 LSU                                         1     1     1    48    48   52.525
  45 Georgia Navy Pre-Flight                     0     1     0     7    13   52.045
  46 Wake Forest                                 2     1     0    27    48   51.356
  47 Tennessee                                   2     0     1    66     7   50.872
  48 Modesto JC(CA)                              1     0     0    28     0   50.729
  49 Ball State                                  2     2     0    58    45   50.708
  50 Alabama                                     5     2     2   272    83   50.560
  51 TCU                                         0     0     1     6     6   49.712
  52 Arkansas                                    5     5     1   120   161   49.703
  53 Central Michigan                            5     2     0   150   106   49.111
  54 Denver                                      0     1     0    14    16   48.479
  55 Georgia                                     7     3     0   273   130   48.479
  56 Case Institute(OH)                          0     1     0    18    20   48.207
  57 Northwestern                                0     1     0     6    25   47.920
  58 Brooklyn(NY)                                0     1     0    21    24   47.183
