Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Grand Valley St                             1     0     0    35     0   67.617
   2 Georgia Tech                               11     0     1   379   186   67.580
   3 Colorado                                   11     1     1   399   229   67.284
   4 Miami FL                                   10     2     0   447   184   67.063
   5 Washington                                 10     2     0   440   184   66.607
   6 North Dakota St                             1     0     0    47     0   65.944
   7 Florida St                                 10     2     0   459   206   65.915
   8 Texas                                      10     2     0   358   227   65.565
   9 Clemson                                    10     2     0   333   109   65.420
  10 Notre Dame                                  9     3     0   359   259   65.157
  11 Tennessee                                   9     2     2   465   220   64.631
  12 Florida                                     9     2     0   387   171   64.542
  13 Michigan                                    9     3     0   389   198   64.306
  14 Penn State                                  9     3     0   297   179   63.976
  15 Oklahoma                                    8     3     0   401   174   63.616
  16 Nebraska                                    9     3     0   434   192   63.402
  17 Virginia                                    8     4     0   464   227   63.186
  18 Houston                                    10     1     0   511   303   62.696
  19 Southern Cal                                8     4     1   348   274   62.593
  20 Iowa                                        8     4     0   427   288   62.150
  21 Allegheny                                   2     0     0    82    23   62.015
  22 Michigan St                                 8     3     1   312   223   61.891
  23 Auburn                                      8     3     1   283   216   61.655
  24 Illinois                                    8     4     0   293   246   61.593
  25 Brigham Young                              10     3     0   524   350   61.472
  26 California                                  7     4     1   325   341   61.437
  27 Dickinson                                   1     0     0    38    16   61.295
  28 Oregon                                      8     4     0   341   221   61.258
  29 Texas A&M                                   9     3     1   465   232   60.879
  30 Louisville                                 10     1     1   345   149   60.670
  31 Stanford                                    5     6     0   263   284   60.475
  32 San José St                                 9     2     1   435   228   60.472
  33 North Carolina St                           7     5     0   298   189   60.425
  34 Alabama                                     7     5     0   260   161   60.400
  35 Virginia Tech                               6     5     0   245   227   60.270
  36 Ohio State                                  7     4     1   349   220   60.132
  37 Maryland                                    5     5     1   196   271   59.900
  38 Syracuse                                    7     4     2   341   213   59.889
  39 South Carolina                              6     5     0   282   237   59.880
  40 UCLA                                        5     6     0   305   332   59.626
  41 Arizona                                     7     5     0   267   311   59.586
  42 Southern Miss                               8     4     0   220   172   59.556
  43 Mississippi                                 9     3     0   260   226   59.389
  44 Sewanee                                     1     0     0    17     9   59.243
  45 Rhodes                                      1     0     0    23    13   59.183
  46 North Carolina                              6     4     1   227   186   59.111
  47 Saginaw Valley St                           1     0     0    17     7   58.818
  48 Minnesota                                   6     5     0   224   281   58.125
  49 Baylor                                      6     4     1   225   202   58.040
  50 Indiana                                     6     5     1   329   238   58.016
  51 Colorado St                                 9     4     0   378   302   57.940
  52 Temple                                      7     4     0   261   269   57.930
  53 San Diego St                                6     5     0   459   386   57.842
  54 Wyoming                                     9     4     0   327   297   57.777
  55 Simpson                                     1     0     0    35    20   57.407
  56 Arizona St                                  4     7     0   272   294   57.284
  57 Air Force                                   7     5     0   262   283   57.280
  58 Georgia Southern                            7     3     0   280   198   57.021
  59 Mississippi St                              5     6     0   207   236   56.744
  60 Ferris St                                   1     0     0    27    18   56.679
  61 Nebraska Wesleyan                           1     0     0    59    38   56.597
  62 Louisiana Tech                              8     3     1   365   219   56.454
  63 Georgia                                     4     7     0   185   293   56.108
  64 LSU                                         5     6     0   183   238   55.934
  65 East Carolina                               5     6     0   254   267   55.825
  66 Hawaii                                      7     5     0   374   257   55.806
  67 Dayton                                     11     1     0   473   172   55.787
  68 Missouri                                    4     7     0   278   360   55.721
  69 North Alabama                               2     0     0    42     6   55.715
  70 Washington St                               3     8     0   286   381   55.708
  71 TCU                                         5     6     0   292   353   55.530
  72 Pittsburgh                                  3     7     1   240   293   55.529
  73 Hope                                        1     0     0    17    13   55.475
  74 Iowa St                                     4     6     1   270   307   55.471
  75 Rice                                        5     6     0   256   258   55.445
  76 Oklahoma St                                 4     6     0   216   286   55.349
  77 Texas Tech                                  4     7     0   322   356   55.289
  78 Duke                                        4     7     0   240   295   55.136
  79 Middle Tennessee St                        11     2     0   425   128   55.045
  80 Kansas                                      3     7     1   213   365   54.837
  81 Northern Michigan                           1     0     0    10     9   54.818
  82 Nevada                                     13     2     0   497   321   54.775
  83 Memphis                                     4     6     1   212   233   54.489
  84 Jacksonville St                             2     0     0    48    17   54.193
  85 Eastern Kentucky                           10     2     0   369   200   54.102
  86 Kentucky                                    4     7     0   228   316   54.085
  87 Fresno St                                   8     2     1   346   230   54.052
  88 Furman                                      9     4     0   425   237   53.976
  89 Tulane                                      4     7     0   237   253   53.764
  90 Boston College                              4     7     0   190   288   53.742
  91 West Virginia                               4     7     0   217   238   53.714
  92 Wake Forest                                 3     7     0   234   310   53.638
  93 Arkansas                                    3     8     0   263   360   53.454
  94 Idaho                                       9     4     0   477   342   53.127
  95 Kansas St                                   4     6     0   232   276   52.803
  96 Louisiana-Lafayette                         5     6     0   197   242   52.784
  97 Toledo                                      9     2     0   284   178   52.756
  98 Purdue                                      2     9     0   177   337   52.700
  99 Utah                                        4     7     0   214   348   52.690
 100 Boise St                                   10     4     0   382   258   52.475
 101 Central Michigan                            8     3     1   283   146   52.402
 102 Northern Illinois                           6     5     0   333   260   52.331
 103 Citadel                                     7     5     0   266   223   52.282
 104 William & Mary                              5     3     0   271   213   52.243
