Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 NEBRASKA                                   13     0     0   607   214  129.992
   2 FLORIDA ST                                 11     1     0   468   181  129.018
   3 MICHIGAN                                   12     0     0   322   114  128.684
   4 FLORIDA                                    10     2     0   430   205  128.319
   5 TENNESSEE                                  11     2     0   428   286  127.830
   6 GEORGIA                                    10     2     0   380   195  126.935
   7 UCLA                                       10     2     0   477   247  126.110
   8 NORTH CAROLINA                             11     1     0   348   146  125.786
   9 AUBURN                                     10     3     0   340   250  125.614
  10 KANSAS ST                                  11     1     0   418   177  125.443
  11 WASHINGTON ST                              10     2     0   483   296  125.353
  12 WASHINGTON                                  8     4     0   420   259  124.311
  13 OHIO ST                                    10     3     0   394   170  124.077
  14 LOUISIANA ST                                9     3     0   373   188  123.785
  15 MISSISSIPPI                                 8     4     0   267   240  122.463
  16 ARIZONA ST                                  9     3     0   324   210  122.409
  17 PENN ST                                     9     3     0   366   254  121.578
  18 MISSISSIPPI ST                              7     4     0   226   215  121.484
  19 SOUTHERN CALIFORNIA                         6     5     0   233   233  121.248
  20 VIRGINIA                                    7     4     0   277   242  121.173
  21 ARIZONA                                     7     5     0   317   312  120.834
  22 OREGON                                      7     5     0   380   350  120.749
  23 CLEMSON                                     7     5     0   292   219  120.448
  24 GEORGIA TECH                                7     5     0   314   296  120.362
  25 SOUTH CAROLINA                              5     6     0   258   279  120.281
  26 SOUTHERN MISS                               9     3     0   337   210  120.046
  27 TEXAS A&M                                   9     4     0   445   236  119.934
  28 COLORADO ST                                11     2     0   477   203  119.923
  29 MICHIGAN ST                                 7     5     0   342   237  119.818
  30 PURDUE                                      9     3     0   396   267  119.784
  31 STANFORD                                    5     6     0   276   317  119.486
  32 NORTH CAROLINA ST                           6     5     0   325   268  119.071
  33 NOTRE DAME                                  7     6     0   282   265  119.031
  34 KENTUCKY                                    5     6     0   348   362  118.889
  35 ILLINOIS WESLEYAN                           1     0     0    30     7  118.793
  36 SYRACUSE                                    9     4     0   441   226  118.594
  37 ALABAMA                                     4     7     0   246   248  118.511
  38 ARKANSAS                                    4     7     0   181   284  118.479
  39 IOWA                                        7     5     0   411   159  118.240
  40 MARSHALL                                   10     3     0   484   259  118.181
  41 COLORADO                                    5     6     0   300   295  118.010
  42 OKLAHOMA ST                                 8     4     0   352   233  117.605
  43 MISSOURI                                    7     5     0   392   367  117.526
  44 TEXAS TECH                                  6     5     0   245   217  117.391
  45 AIR FORCE                                  10     3     0   279   190  117.327
  46 WISCONSIN                                   8     5     0   291   306  117.251
  47 LOUISIANA TECH                              9     2     0   364   281  117.194
  48 WAKE FOREST                                 5     6     0   245   288  116.985
  49 MIAMI (OHIO)                                8     3     0   412   226  116.972
  50 CENTRAL FLORIDA                             5     6     0   374   303  116.825
