Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 GEORGIA                                    12     0     0   459   136  134.058
   2 MICHIGAN                                   12     0     0   478   152  132.464
   3 TCU                                        12     0     0   496   294  130.123
   4 OHIO STATE                                 11     1     0   534   231  129.993
   5 TENNESSEE                                  10     2     0   568   282  129.566
   6 ALABAMA                                    10     2     0   489   216  129.032
   7 PENN STATE                                 10     2     0   430   216  128.226
   8 SOUTHERN CAL                               11     1     0   510   316  127.657
   9 KANSAS ST                                   9     3     0   401   233  127.282
  10 LSU                                         9     3     0   390   258  126.688
  11 TEXAS                                       8     4     0   428   254  126.626
  12 OREGON                                      9     3     0   476   329  126.475
  13 UTAH                                        9     3     0   473   241  126.414
  14 CLEMSON                                    10     2     0   412   251  126.340
  15 OREGON ST                                   9     3     0   389   257  125.805
  16 FLORIDA ST                                  9     3     0   434   236  125.603
  17 WASHINGTON                                 10     2     0   489   316  125.531
  18 MISSISSIPPI ST                              8     4     0   392   290  125.326
  19 UCLA                                        9     3     0   475   340  124.820
  20 MISSISSIPPI                                 8     4     0   410   290  124.757
  21 SOUTH CAROLINA                              8     4     0   380   330  124.454
  22 TULANE                                     10     2     0   413   238  124.251
  23 TEXAS TECH                                  7     5     0   403   354  124.016
  24 NOTRE DAME                                  8     4     0   368   261  123.989
  25 KENTUCKY                                    7     5     0   265   229  123.960
  26 FLORIDA                                     6     6     0   381   345  123.863
  27 ILLINOIS                                    8     4     0   305   147  123.707
  28 WASHINGTON ST                               7     5     0   333   269  123.130
  29 LOUISVILLE                                  7     5     0   326   242  123.090
  30 OKLAHOMA                                    6     6     0   395   355  123.048
  31 OKLAHOMA ST                                 7     5     0   381   352  123.023
  32 KANSAS                                      6     6     0   410   406  122.903
  33 BAYLOR                                      6     6     0   403   319  122.841
  34 NORTH CAROLINA ST                           8     4     0   304   233  122.791
  35 IOWA                                        7     5     0   209   173  122.735
  36 ARKANSAS                                    6     6     0   368   345  122.645
  37 MISSOURI                                    6     6     0   306   300  122.550
  38 PURDUE                                      8     4     0   343   277  122.528
  39 MINNESOTA                                   8     4     0   339   160  122.509
  40 NORTH CAROLINA                              9     3     0   445   364  122.419
  41 PITTSBURGH                                  8     4     0   370   281  122.416
  42 MARYLAND                                    7     5     0   350   289  122.374
  43 SYRACUSE                                    7     5     0   340   272  122.307
  44 WAKE FOREST                                 7     5     0   442   351  122.267
  45 CENTRAL FLORIDA                             9     3     0   419   256  122.259
  46 AUBURN                                      5     7     0   297   354  122.249
  47 CINCINNATI                                  9     3     0   373   244  122.104
  48 TROY                                       10     2     0   295   202  122.009
  49 WEST VIRGINIA                               5     7     0   367   395  121.563
  50 TEXAS-SAN ANTONIO                          10     2     0   455   318  121.462
  51 IOWA ST                                     4     8     0   242   243  121.354
  52 SOUTH ALABAMA                              10     2     0   383   233  121.206
  53 SACRAMENTO ST                              11     0     0   457   240  121.185
  54 TEXAS A&M                                   5     7     0   273   254  121.101
  55 WISCONSIN                                   6     6     0   318   246  120.878
  56 DUKE                                        8     4     0   397   274  120.874
  57 BOISE ST                                    9     3     0   362   213  120.869
  58 SMU                                         7     5     0   461   416  120.826
  59 VANDERBILT                                  5     7     0   295   432  120.764
  60 ARIZONA                                     5     7     0   370   438  120.715
  61 MICHIGAN ST                                 5     7     0   293   329  120.561
  62 JAMES MADISON                               8     3     0   407   230  120.474
  63 HOUSTON                                     7     5     0   446   402  120.396
  64 BRIGHAM YOUNG                               7     5     0   383   360  120.270
  65 MARSHALL                                    8     4     0   290   194  120.173
  66 COASTAL CAROLINA                            9     2     0   323   316  120.080
  67 SOUTH DAKOTA ST                            10     1     0   345   171  120.063
  68 FRESNO ST                                   8     4     0   371   250  119.835
  69 AIR FORCE                                   9     3     0   332   159  119.752
  70 EAST CAROLINA                               7     5     0   370   324  119.565
  71 MONTANA ST                                 10     1     0   495   302  119.421
  72 CALIFORNIA                                  4     8     0   287   334  119.287
  73 MEMPHIS                                     6     6     0   421   328  119.212
  74 WEBER ST                                   10     2     0   432   232  119.186
  75 OHIO U.                                     9     3     0   408   352  119.108
  76 GEORGIA TECH                                5     7     0   206   341  118.972
  77 SAMFORD                                    10     1     0   369   262  118.971
  78 INDIANA                                     4     8     0   279   407  118.834
  79 WESTERN KENTUCKY                            8     5     0   466   305  118.716
  80 STANFORD                                    3     9     0   256   386  118.512
  81 LIBERTY                                     8     4     0   339   299  118.295
  82 FURMAN                                     10     2     0   392   222  118.089
  83 APPALACHIAN ST                              6     6     0   419   321  118.070
  84 MIAMI FL                                    5     7     0   283   321  117.930
  85 NEBRASKA                                    4     8     0   271   331  117.837
  86 NORTH DAKOTA ST                             9     2     0   383   191  117.831
  87 LOUISIANA-LAFAYETTE                         6     6     0   324   274  117.796
  88 WILLIAM & MARY                             10     1     0   374   224  117.706
  89 HOLY CROSS                                 11     0     0   430   219  117.670
  90 JACKSON ST                                 11     0     0   413   111  117.615
  91 SAN JOSE ST                                 7     4     0   302   223  117.596
  92 ARIZONA ST                                  3     9     0   313   377  117.582
  93 NAVY                                        4     7     0   244   272  117.438
  94 SAN DIEGO ST                                7     5     0   256   242  117.367
  95 NORTH TEXAS                                 7     5     0   414   361  117.268
  96 WYOMING                                     7     5     0   249   281  117.210
  97 GRAND VALLEY ST                            12     0     0   472   121  117.187
  98 ALABAMA-BIRMINGHAM                          6     6     0   367   281  117.156
  99 GEORGIA SOUTHERN                            6     6     0   404   388  117.141
 100 VIRGINIA                                    3     7     0   170   240  117.095
 101 SOUTHERN MISS                               6     6     0   291   282  117.073
 102 TULSA                                       5     7     0   367   395  116.856
 103 RUTGERS                                     4     8     0   209   351  116.519
 104 UTAH ST                                     6     6     0   279   367  116.493
 105 ARMY                                        5     6     0   323   253  116.355
 106 MIDDLE TENNESSEE ST                         7     5     0   350   337  116.335
 107 CONNECTICUT                                 6     6     0   238   313  116.312
 108 TOLEDO                                      7     5     0   400   325  116.306
 109 GEORGIA ST                                  4     8     0   360   374  116.293
 110 BUFFALO                                     5     6     0   325   304  116.229
 111 FLORIDA ATLANTIC                            5     7     0   357   319  116.130
 112 EASTERN MICHIGAN                            8     4     0   346   343  116.031
 113 ELON                                        8     4     0   309   256  115.990
 114 KENT ST                                     5     7     0   341   348  115.890
 115 BOWLING GREEN                               6     6     0   286   399  115.798
 116 MONTANA                                     8     4     0   444   228  115.633
 117 VIRGINIA TECH                               3     8     0   212   272  115.467
 118 UC-DAVIS                                    6     5     0   395   239  115.407
 119 BOSTON COLLEGE                              3     9     0   213   364  115.388
 120 RICHMOND                                    9     3     0   376   223  115.298
 121 MERCER                                      7     4     0   420   243  115.135
 122 INCARNATE WORD                             10     1     0   582   210  115.080
 123 RICE                                        5     7     0   304   406  114.998
 124 MIAMI OH                                    6     6     0   243   270  114.992
 125 COLORADO                                    1    11     0   185   534  114.840
 126 WESTERN MICHIGAN                            5     7     0   228   289  114.821
 127 LOUISIANA-MONROE                            4     8     0   268   413  114.740
 128 FERRIS ST                                  11     1     0   434   167  114.723
 129 IDAHO                                       7     5     0   431   305  114.708
 130 DELAWARE                                    8     4     0   360   195  114.685
 131 JACKSONVILLE ST                             9     2     0   398   252  114.671
 132 UTEP                                        5     7     0   293   324  114.454
 133 BALL ST                                     5     7     0   279   323  114.436
 134 UNLV                                        5     7     0   316   342  114.431
 135 NORTH DAKOTA                                7     5     0   364   370  114.418
 136 OLD DOMINION                                3     9     0   234   319  114.390
 137 YALE                                        8     2     0   305   195  113.957
 138 NORTHERN IOWA                               6     5     0   363   283  113.931
 139 CHATTANOOGA                                 7     4     0   320   227  113.820
 140 ANGELO ST                                  12     0     0   393   136  113.744
 141 NEW HAMPSHIRE                               9     3     0   367   334  113.603
 142 CENTRAL MICHIGAN                            4     8     0   297   338  113.512
 143 TEXAS ST-SAN MARCOS                         4     8     0   253   316  113.505
 144 SE MISSOURI ST                              9     3     0   427   271  113.443
 145 PRINCETON                                   8     2     0   278   135  113.433
 146 GARDNER-WEBB                                7     5     0   404   323  113.419
 147 NORTHWESTERN                                1    11     0   165   340  113.343
 148 RHODE ISLAND                                7     4     0   337   293  113.249
 149 SE LOUISIANA                                9     3     0   417   290  113.149
 150 PITTSBURG ST                               12     1     0   417   183  113.082
 151 LOUISIANA TECH                              3     9     0   348   455  113.066
 152 COLORADO ST                                 3     9     0   158   323  112.915
 153 TEMPLE                                      3     9     0   263   351  112.839
 154 SOUTH FLORIDA                               1    11     0   336   494  112.674
 155 SOUTHERN ILLINOIS                           5     6     0   311   294  112.504
 156 NEW MEXICO ST                               5     6     0   242   289  112.501
 157 UNC-CHARLOTTE                               3     9     0   293   473  112.484
 158 PENNSYLVANIA                                8     2     0   266   197  112.450
 159 ARKANSAS ST                                 3     9     0   300   377  112.410
 160 YOUNGSTOWN ST                               7     4     0   314   279  112.318
 161 EASTERN KENTUCKY                            7     5     0   434   422  112.213
 162 NORTHERN ILLINOIS                           3     9     0   327   393  112.167
 163 AUSTIN PEAY                                 7     4     0   347   250  112.118
 164 ABILENE CHRISTIAN                           7     4     0   310   246  111.742
 165 FORDHAM                                     9     3     0   594   434  111.677
 166 MISSOURI ST                                 5     6     0   301   300  111.666
 167 FLORIDA A&M                                 9     2     0   281   246  111.622
 168 AKRON                                       2     9     0   239   379  111.479
 169 FLORIDA INT'L                               4     8     0   224   447  111.349
 170 HARVARD                                     6     4     0   269   236  111.310
 171 HAWAI`I                                     3    10     0   257   451  111.305
 172 ILLINOIS ST                                 6     5     0   190   224  111.067
 173 NEVADA                                      2    10     0   226   371  111.030
 174 WEST FLORIDA                               11     1     0   521   282  110.919
 175 WESTERN CAROLINA                            6     5     0   351   351  110.746
 176 TOWSON                                      6     5     0   235   306  110.577
 177 NORTH CAROLINA CENTRAL                      9     2     0   422   224  110.459
 178 CENTRAL ARKANSAS                            5     6     0   353   351  110.407
 179 SAM HOUSTON ST                              5     4     0   165   187  110.313
 180 TENNESSEE-MARTIN                            7     4     0   382   331  110.271
 181 NORTH CENTRAL                              12     0     0   661    58  110.217
 182 COLORADO MINES                             11     2     0   614   237  110.202
 183 SOUTH DAKOTA                                3     8     0   179   321  109.935
 184 NEW MEXICO                                  2    10     0   157   312  109.905
 185 ST FRANCIS PA                               9     3     0   431   258  109.873
 186 STEPHEN F. AUSTIN                           6     5     0   377   340  109.850
 187 NW MISSOURI ST                             10     3     0   372   209  109.818
 188 VILLANOVA                                   6     5     0   289   313  109.718
 189 CAMPBELL                                    5     6     0   341   311  109.710
 190 MOUNT UNION                                12     0     0   576    86  109.709
 191 KENNESAW ST                                 5     6     0   302   385  109.671
 192 DELTA ST                                   11     2     0   535   300  109.551
 193 TRINITY CT                                  9     0     0   301    98  109.502
 194 EASTERN WASHINGTON                          3     8     0   271   466  109.465
 195 NORTH CAROLINA A&T                          7     4     0   315   291  109.307
 196 PORTLAND ST                                 4     7     0   282   407  109.280
 197 SOUTHERN UTAH                               5     6     0   331   307  109.278
 198 UTAH TECH                                   4     7     0   312   386  109.142
 199 COLUMBIA                                    6     4     0   265   208  109.089
 200 SOUTHERN U.                                 7     4     0   356   218  108.737
 201 NORTHERN ARIZONA                            3     8     0   245   322  108.718
 202 NEBRASKA-KEARNEY                            8     3     0   361   206  108.465
 203 WEST GEORGIA                                8     2     0   404   239  108.385
 204 WINGATE                                    11     2     0   333   133  108.334
 205 MONMOUTH NJ                                 5     6     0   400   377  108.324
 206 TARLETON ST                                 6     5     0   341   306  108.138
 207 ST THOMAS MN                               10     1     0   358   189  108.124
 208 WOFFORD                                     3     8     0   220   350  108.004
 209 EMPORIA ST                                  8     3     0   356   233  107.920
 210 THE CITADEL                                 4     7     0   206   276  107.748
 211 LINDENWOOD                                  7     3     0   395   322  107.748
 212 EAST TENNESSEE ST                           3     8     0   323   336  107.668
 213 SAGINAW VALLEY ST                           8     3     0   372   209  107.647
 214 CORNELL NY                                  5     5     0   216   283  107.554
 215 TEXAS SOUTHERN                              5     6     0   281   285  107.375
 216 MERRIMACK                                   8     3     0   306   251  107.251
 217 LENOIR-RHYNE                                8     3     0   387   205  107.102
 218 MASSACHUSETTS                               1    11     0   150   373  107.081
 219 DAVENPORT                                   8     3     0   336   322  106.960
 220 INDIANA ST                                  2     9     0   176   360  106.865
 221 WASHBURN                                    7     4     0   364   258  106.780
 222 TENNESSEE TECH                              4     7     0   266   356  106.749
 223 ALABAMA ST                                  6     5     0   207   222  106.629
 224 DARTMOUTH                                   3     7     0   201   205  106.599
 225 NEWBERRY                                    9     2     0   343   242  106.552
 226 ALBANY NY                                   3     8     0   326   375  106.291
 227 PRAIRIE VIEW A&M                            6     5     0   328   292  106.280
 228 BRYANT                                      4     7     0   366   331  106.190
 229 HAMPTON                                     4     7     0   220   298  106.189
 230 INDIANAPOLIS                                9     2     0   394   253  106.188
 231 ALCORN ST                                   5     6     0   228   274  106.093
 232 BENEDICT                                   11     1     0   427   155  105.999
 233 CENTRAL WASHINGTON                          6     4     0   260   189  105.963
 234 SHEPHERD                                   12     1     0   527   211  105.958
 235 HOWARD                                      5     6     0   311   279  105.913
 236 LIMESTONE                                   8     4     0   417   373  105.863
 237 BROWN                                       3     7     0   231   351  105.849
 238 INDIANA PA                                 10     1     0   366   189  105.688
 239 NORTHERN COLORADO                           3     8     0   229   412  105.624
 240 LAFAYETTE                                   4     7     0   139   239  105.544
 241 CHARLESTON SOUTHERN                         2     8     0   207   327  105.372
 242 WARTBURG                                   12     0     0   492    87  105.349
 243 ALABAMA A&M                                 4     7     0   225   353  105.338
 244 DELAWARE VALLEY                            12     0     0   385    97  105.246
 245 ITHACA                                     12     0     0   477   139  105.215
 246 CAL POLY SLO                                2     9     0   241   467  105.154
 247 MAINE                                       2     9     0   256   347  104.936
 248 TRUMAN ST                                   8     2     0   313   178  104.897
 249 GRAND VIEW                                 13     0     0   491   115  104.842
 250 COLGATE                                     3     8     0   237   335  104.800
 251 MARS HILL                                   7     3     0   287   196  104.784
 252 ASHLAND                                    10     2     0   351   176  104.738
 253 TAMU-COMMERCE                               5     6     0   304   219  104.712
 254 NORTHWESTERN ST                             4     7     0   237   417  104.630
 255 MCNEESE ST                                  4     7     0   249   340  104.581
 256 CENTRAL OKLAHOMA                            6     5     0   247   239  104.541
 257 TENNESSEE ST                                4     7     0   201   272  104.427
 258 COLORADO ST-PUEBLO                          8     4     0   432   263  104.423
 259 WESTERN OREGON                              6     5     0   298   247  104.375
 260 DAVIDSON                                    8     4     0   383   292  104.349
 261 CARNEGIE MELLON                            11     1     0   312   151  104.274
 262 BEMIDJI ST                                 10     3     0   482   233  104.128
 263 MINN ST-MANKATO                            10     3     0   437   303  104.102
 264 NICHOLLS ST                                 3     8     0   203   388  104.087
 265 TAMU-KINGSVILLE                             7     4     0   338   228  103.985
 266 JOHN CARROLL                                8     2     0   380   131  103.955
 267 MIDDLEBURY                                  7     2     0   254   204  103.885
 268 TUSCULUM                                    8     3     0   336   197  103.879
 269 STONY BROOK                                 2     9     0   166   355  103.815
 270 GRAMBLING ST                                3     8     0   249   363  103.775
 271 IDAHO ST                                    1    10     0   151   402  103.759
 272 MIDWESTERN ST                               6     5     0   333   297  103.748
 273 MISSOURI WESTERN                            5     6     0   282   259  103.708
 274 BUTLER                                      7     4     0   300   244  103.523
 275 NORTH ALABAMA                               1    10     0   314   457  103.446
 276 SLIPPERY ROCK                              10     3     0   401   210  103.406
 277 EASTERN ILLINOIS                            2     9     0   245   343  103.371
 278 ALBANY ST GA                                7     3     0   296   149  103.354
 279 MORGAN ST                                   4     7     0   250   308  103.204
 280 TUFTS                                       6     3     0   312   174  103.156
 281 WESTERN NEW MEXICO                          6     5     0   280   327  103.074
 282 VMI                                         1    10     0   177   399  103.034
 283 MURRAY ST                                   2     9     0   167   405  103.014
 284 LEHIGH                                      2     9     0   189   325  102.928
 285 NORTHWESTERN IA                            11     1     0   539   129  102.867
 286 MARY HARDIN-BAYLOR                         11     1     0   523   163  102.753
 287 JOHNS HOPKINS                              10     1     0   481   156  102.671
 288 DAYTON                                      8     3     0   313   247  102.608
 289 DUQUESNE                                    4     7     0   270   303  102.573
 290 NOTRE DAME OH                               9     3     0   378   186  102.571
 291 LIU                                         4     7     0   266   417  102.496
 292 MISSISSIPPI COLLEGE                         4     7     0   291   399  102.480
 293 WESTERN ILLINOIS                            0    11     0   150   426  102.453
 294 MISSISSIPPI VALLEY ST                       2     9     0   159   334  102.431
 295 MORNINGSIDE                                11     1     0   637   191  102.429
 296 SACRED HEART                                5     6     0   271   287  102.411
 297 WESLEYAN                                    6     3     0   245   171  102.406
 298 KEISER                                      9     3     0   377   244  102.394
 299 SAN DIEGO                                   5     5     0   279   210  102.370
 300 BUCKNELL                                    3     8     0   141   312  102.359
 301 VIRGINIA UNION                              9     2     0   446   197  102.317
 302 WEST ALABAMA                                5     6     0   252   219  102.316
 303 VALDOSTA ST                                 5     6     0   403   407  102.313
 304 TIFFIN                                      6     4     0   365   156  102.284
 305 CARSON-NEWMAN                               6     5     0   284   262  102.252
 306 SOUTH CAROLINA ST                           3     8     0   246   338  102.207
 307 BETHEL TN                                  11     1     0   453   165  102.156
 308 NORTH GREENVILLE                            3     8     0   298   411  102.144
 309 WASH & JEFF                                 8     2     0   379   122  102.134
 310 TEXAS-PERMIAN BASIN                         5     6     0   265   303  102.050
 311 MICHIGAN TECH                               4     7     0   242   330  102.040
 312 MISSOURI SOUTHERN                           4     7     0   238   273  101.914
 313 CENTRAL MISSOURI                            4     7     0   262   288  101.840
 314 WEST TEXAS A&M                              5     6     0   302   297  101.826
 315 DELAWARE ST                                 5     6     0   212   254  101.806
 316 GEORGETOWN DC                               2     9     0   249   401  101.793
 317 ST JOHN'S MN                               10     2     0   453   192  101.748
 318 CORTLAND ST                                 9     2     0   496   192  101.614
 319 SUSQUEHANNA                                10     1     0   412   154  101.556
 320 OHIO DOMINICAN                              7     3     0   280   169  101.545
 321 BETHUNE-COOKMAN                             2     9     0   259   434  101.527
 322 UW-LA CROSSE                                9     2     0   378   196  101.478
 323 RANDOLPH-MACON                             11     1     0   511   203  101.375
 324 WINONA ST                                   8     4     0   324   233  101.363
 325 FINDLAY                                     7     4     0   311   253  101.361
 326 SW BAPTIST                                  6     5     0   344   335  101.358
 327 MINNESOTA-DULUTH                            8     3     0   367   206  101.255
 328 LAMAR                                       1    10     0   232   415  101.165
 329 KUTZTOWN                                    8     3     0   273   194  101.030
 330 ARKANSAS-PINE BLUFF                         3     8     0   262   395  101.003
 331 HOUSTON CHRISTIAN                           2     9     0   198   405  101.000
 332 TRINITY TX                                 11     1     0   404   137  100.983
 333 WAYNE ST NE                                 9     3     0   351   252  100.973
 334 SIOUX FALLS                                 8     3     0   361   228  100.944
 335 WESTERN COLORADO                            7     4     0   347   282  100.941
 336 LINDSEY WILSON                             10     2     0   349   123  100.914
 337 ST THOMAS FL                                8     2     0   376   176  100.874
 338 SOUTH DAKOTA TECH                           7     4     0   346   265  100.833
 339 UW-WHITEWATER                               8     3     0   317   203  100.830
 340 AUGUSTANA SD                                7     4     0   290   228  100.756
 341 GANNON                                      8     3     0   348   241  100.733
 342 CONCORD                                     9     2     0   435   335  100.677
 343 FAYETTEVILLE ST                             9     3     0   270   207  100.576
 344 NORFOLK ST                                  2     9     0   189   444  100.518
 345 FORT VALLEY ST                              8     2     0   300   227  100.516
